customer_name_client,account,order_date_utc,region_territory,gross_revenue,unit_cost,profit_margin,active_subscription,customer_notes_log,gross_revenue_original_currency,unit_cost_original_currency
Stark Industries,00267,2024-07-14,Europe,348232.93,234505.46,0.126,False,,GBP,GBP
Globex Inc,00019,2024-12-15,APAC,147714.84,89337.15,0.473,True,Account upgrade pending,INR,INR
Soylent Corp,00708,2024-06-16,North America,5004992.43,4467119.15,0.426,False,Standard order,USD,USD
Cyberdyne Systems,00764,2024-11-26,EMEA,692506.15,604351.62,0.434,True,Quarterly renewal,EUR,EUR
Soylent Corp,00034,2024-05-19,USA,6454279.11,4216427.51,0.511,True,Fast shipping requested,USD,USD
Pied Piper,00192,2024-10-02,India,9960568.5,102310.4,0.139,False,Standard order,USD,INR
Globex Inc,00957,2024-02-19,Europe,5754315.11,4491631.85,0.473,False,,EUR,EUR
Hooli Inc,00422,2024-04-03,USA,4523968.79,3999360.96,,True,,USD,USD
Massive Dynamic,00631,2024-08-08,USA,5300019.42,4797247.74,0.183,False,Account upgrade pending,USD,USD
Umbrella Corp,00848,2024-04-20,Europe,1110553.68,629794.19,0.41100000000000003,False,Quarterly renewal,GBP,GBP
Initech LLC,00723,2024-07-28,LATAM,66459.86,54021.22,0.1,True,,USD,USD
Stark Industries,00061,2024-03-20,India,15001532.06,154316.92,0.469,False,,USD,INR
Wayne Enterprises,00860,2024-08-12,India,210766.41,137547.26,0.162,False,Customer asked for 50 discount,INR,INR
Soylent Corp,00288,2024-09-23,EMEA,-4341543.35,3522620.18,-0.305,False,Standard order,EUR,EUR
Soylent Corp,00862,2024-10-25,LATAM,-3076637.44,2101753.69,-0.215,False,,USD,USD
Globex Inc,00775,2024-05-04,USA,2601060.6,2074302.53,0.445,False,,USD,USD
Dunder Mifflin,00938,2024-02-13,LATAM,1873056.62,1063145.94,0.149,False,Customer asked for 50 discount,USD,USD
Wayne Enterprises,00268,2024-12-01,Europe,1415809.15,814641.03,0.065,True,VIP client priority support,EUR,EUR
Soylent Corp,00139,2024-10-16,LATAM,3081800.33,1875972.26,0.402,True,Customer asked for 50 discount,USD,USD
Umbrella Corp,00602,2024-10-22,APAC,53590.8,41215.41,0.37799999999999995,False,Fast shipping requested,INR,INR
Massive Dynamic,00811,2024-09-24,APAC,163648.1,90772.54,0.254,False,VIP client priority support,INR,INR
Wayne Enterprises,00190,2024-08-09,USA,2157414.29,1382542.91,0.262,False,,USD,USD
Hooli Inc,00039,2024-03-23,LATAM,1067704.52,691744.49,0.46399999999999997,False,Quarterly renewal,USD,USD
Umbrella Corp,00257,2024-04-09,USA,2996476.03,1667179.15,0.16399999999999998,True,,USD,USD
Globex Inc,00553,2024-12-26,EMEA,1706647.13,1097406.85,0.106,False,VIP client priority support,EUR,EUR
Soylent Corp,00231,2024-05-28,USA,3506181.7,2295530.72,0.157,True,,USD,USD
Cyberdyne Systems,00290,2024-09-14,APAC,161278.07,133624.22,0.184,True,VIP client priority support,INR,INR
Dunder Mifflin,00268,2024-07-02,Europe,964267.19,819745.0,0.16699999999999998,False,Quarterly renewal,EUR,EUR
Globex Inc,00399,2024-05-27,LATAM,2504079.08,1911541.11,0.495,True,Customer asked for 50 discount,USD,USD
Acme Corp,00093,2024-03-20,North America,3012002.97,2318369.01,0.382,False,Fast shipping requested,USD,USD
Acme Corp,00249,2024-07-19,EMEA,-5677333.57,4858965.96,-0.195,False,Customer asked for 50 discount,EUR,EUR
Stark Industries,00137,2024-12-22,LATAM,-2000176.21,1156410.82,-0.253,True,Customer asked for 50 discount,USD,USD
Dunder Mifflin,00103,2024-11-13,North America,3145305.39,2488120.49,0.325,False,Fast shipping requested,USD,USD
Stark Industries,00366,2024-06-23,LATAM,1350687.14,1070805.28,0.494,False,Standard order,USD,USD
Stark Industries,00100,2024-07-21,EMEA,5157345.51,2838736.95,0.075,False,,EUR,EUR
Acme Corp,00462,2024-04-14,Europe,3256963.69,2632774.36,0.336,True,Customer asked for 50 discount,GBP,GBP
Globex Inc,00024,2024-02-04,India,163688.87,99354.12,0.382,False,,INR,INR
Soylent Corp,00477,2024-10-04,India,216686.6,141325.5,0.489,True,Customer asked for 50 discount,INR,INR
Initech LLC,00315,2024-09-08,Europe,3456883.71,2596358.84,0.139,False,,EUR,EUR
Soylent Corp,00886,2024-12-06,Europe,2872823.17,2285517.72,,True,,GBP,GBP
Umbrella Corp,00548,2024-12-13,LATAM,3886014.12,2239082.47,0.175,False,Fast shipping requested,USD,USD
Hooli Inc,00882,2024-12-25,USA,3261607.03,2446779.1,0.37200000000000005,True,Fast shipping requested,USD,USD
Wayne Enterprises,00110,2024-08-16,Europe,305681.79,258170.63,0.11800000000000001,False,VIP client priority support,EUR,EUR
Cyberdyne Systems,00189,2024-04-11,APAC,61886.17,48644.06,0.47200000000000003,True,,INR,INR
Cyberdyne Systems,00085,2024-10-24,LATAM,2778486.55,1972426.9,0.52,True,Quarterly renewal,USD,USD
Wayne Enterprises,00595,2024-01-22,EMEA,4881846.8,3180804.75,0.4,False,,GBP,GBP
Pied Piper,00804,2024-04-06,Europe,5026052.43,4104995.56,0.345,False,Standard order,GBP,GBP
Pied Piper,00817,2024-10-14,LATAM,3647081.16,2422944.9,0.14400000000000002,True,,USD,USD
Globex Inc,00945,2024-05-08,EMEA,-5959641.64,4310504.96,-0.156,False,,GBP,GBP
Globex Inc,00384,2024-01-25,APAC,169842.95,135664.79,0.49200000000000005,True,,INR,INR
Dunder Mifflin,00644,2024-10-23,India,227799.97,150760.38,0.495,False,Fast shipping requested,INR,INR
Umbrella Corp,00250,2024-06-08,India,148898.38,121924.2,0.442,True,Standard order,INR,INR
Initech LLC,00389,2024-08-27,North America,3638363.61,3317466.1,0.139,False,Fast shipping requested,USD,USD
Acme Corp,00227,2024-01-13,USA,5254974.74,3289225.51,0.326,True,Account upgrade pending,USD,USD
Cyberdyne Systems,00817,2024-03-03,India,31931.96,27799.51,0.42100000000000004,True,VIP client priority support,INR,INR
Pied Piper,00063,2024-09-26,North America,5195239.72,3843947.38,0.494,False,,USD,USD
Pied Piper,00479,2024-07-08,USA,-3277081.46,2905425.47,-0.336,True,VIP client priority support,USD,USD
Pied Piper,00649,2024-07-23,USA,670033.83,542498.61,0.41100000000000003,True,,USD,USD
Stark Industries,00919,2024-07-08,North America,2092378.43,1392757.44,0.373,True,Fast shipping requested,USD,USD
Umbrella Corp,00452,2024-01-09,APAC,15054639.25,118745.45,0.249,True,Customer asked for 50 discount,USD,INR
Massive Dynamic,00329,2024-10-16,EMEA,1415950.45,835468.31,0.408,False,,EUR,EUR
Massive Dynamic,00638,2024-10-13,USA,1830547.55,1523183.38,0.135,False,,USD,USD
Umbrella Corp,00155,2024-02-13,USA,3032948.23,1844764.41,0.49200000000000005,True,VIP client priority support,USD,USD
Cyberdyne Systems,00782,2024-05-02,India,123987.12,88471.8,0.10300000000000001,True,,INR,INR
Globex Inc,00693,2024-04-14,EMEA,1896636.96,1191385.29,,True,VIP client priority support,EUR,EUR
Wayne Enterprises,00555,2024-11-20,USA,-489362.05,425183.26,-0.483,True,,USD,USD
Massive Dynamic,00424,2024-05-26,USA,1154623.7,1039874.22,0.22,True,Quarterly renewal,USD,USD
Wayne Enterprises,00613,2024-07-15,LATAM,1363617.95,830233.83,0.10400000000000001,True,Account upgrade pending,USD,USD
Initech LLC,00991,2024-04-17,Europe,3771311.45,3135014.36,0.413,False,,EUR,EUR
Acme Corp,00956,2024-03-06,India,113340.98,75036.67,0.28800000000000003,False,Standard order,INR,INR
Dunder Mifflin,00387,2024-02-11,Europe,3438529.38,2596423.63,0.261,False,Quarterly renewal,GBP,GBP
Hooli Inc,00629,2024-01-17,LATAM,3360931.92,3004118.46,,False,,USD,USD
Globex Inc,00634,2024-07-05,North America,4534500.16,2581832.15,0.205,False,Customer asked for 50 discount,USD,USD
Pied Piper,00751,2024-10-02,Europe,1951526.28,1547053.32,0.38299999999999995,False,,EUR,EUR
Acme Corp,00820,2024-12-17,EMEA,5702475.68,3333539.64,0.059000000000000004,True,Account upgrade pending,EUR,EUR
Stark Industries,00206,2024-05-17,North America,683114.16,570553.19,0.068,False,VIP client priority support,USD,USD
Massive Dynamic,00395,2024-10-18,North America,1112400.32,791961.16,0.162,True,,USD,USD
Soylent Corp,00556,2024-06-04,North America,3086504.87,2019362.83,0.504,False,VIP client priority support,USD,USD
Pied Piper,00063,2024-02-09,USA,1909158.58,1589094.11,0.11900000000000001,True,,USD,USD
Hooli Inc,00962,2024-01-26,APAC,-22130625.19,171255.65,-0.444,False,Account upgrade pending,USD,INR
Cyberdyne Systems,00150,2024-03-22,APAC,119931.98,93268.56,0.151,False,,INR,INR
Wayne Enterprises,00123,2024-04-22,Europe,-4739535.65,3698923.16,-0.285,False,Standard order,GBP,GBP
Acme Corp,00537,2024-05-03,India,63938.24,45020.83,0.508,False,,INR,INR
Globex Inc,00815,2024-01-08,India,67144.31,37332.88,0.39399999999999996,False,Account upgrade pending,INR,INR
Cyberdyne Systems,00055,2024-11-03,EMEA,-4686267.8,3984518.32,-0.265,True,Quarterly renewal,GBP,GBP
Dunder Mifflin,00820,2024-06-14,North America,1697514.8,1406760.7,0.41700000000000004,True,Customer asked for 50 discount,USD,USD
Umbrella Corp,00828,2024-08-26,EMEA,2427470.23,2209671.92,0.484,True,,EUR,EUR
Umbrella Corp,00450,2024-09-18,India,166925.21,110738.76,0.374,True,Account upgrade pending,INR,INR
Massive Dynamic,00455,2024-11-11,EMEA,7056290.24,4253731.79,0.066,False,Account upgrade pending,GBP,GBP
Hooli Inc,00402,2024-11-03,India,96143.28,80024.02,0.237,True,Fast shipping requested,INR,INR
Dunder Mifflin,00763,2024-09-28,North America,4702086.27,2959451.14,0.519,True,Fast shipping requested,USD,USD
Stark Industries,00186,2024-06-11,USA,3675236.31,2416225.4,0.38299999999999995,True,Account upgrade pending,USD,USD
Globex Inc,00239,2024-03-19,APAC,145207.96,104976.67,0.466,False,,INR,INR
Globex Inc,00430,2024-03-26,Europe,4020078.66,2880348.26,0.46299999999999997,False,VIP client priority support,EUR,EUR
Cyberdyne Systems,00453,2024-02-14,India,7480617.32,68288.19,0.47100000000000003,True,Quarterly renewal,USD,INR
Acme Corp,00989,2024-05-11,India,128130.42,78466.46,0.36,False,Account upgrade pending,INR,INR
Massive Dynamic,00052,2024-11-13,Europe,1976477.82,1241226.75,0.064,False,Customer asked for 50 discount,GBP,GBP
Acme Corp,00989,2024-04-28,EMEA,4308306.02,2621560.54,0.21,False,Account upgrade pending,EUR,EUR
Initech LLC,00891,2024-09-06,EMEA,1524906.31,907827.45,0.07400000000000001,False,,EUR,EUR
Soylent Corp,00995,2024-06-18,Europe,3122709.07,2312204.09,0.061,False,,EUR,EUR
Soylent Corp,00230,2024-05-01,India,75008.35,41481.54,0.174,False,Account upgrade pending,INR,INR
Dunder Mifflin,00420,2024-06-19,APAC,115336.82,86900.2,0.337,True,,INR,INR
Hooli Inc,00823,2024-10-04,EMEA,301399.64,181051.63,0.265,False,VIP client priority support,EUR,EUR
Hooli Inc,00963,2024-10-07,India,150462.54,110997.2,0.315,True,Account upgrade pending,INR,INR
Hooli Inc,00699,2024-12-26,APAC,159168.82,122696.33,0.507,True,Standard order,INR,INR
Massive Dynamic,00501,2024-03-25,North America,1280687.75,913366.06,0.146,False,,USD,USD
Initech LLC,00754,2024-09-17,APAC,122200.89,84248.37,0.301,False,Customer asked for 50 discount,INR,INR
Massive Dynamic,00505,2024-05-20,North America,5149624.55,4175384.27,0.276,False,Customer asked for 50 discount,USD,USD
Pied Piper,00134,2024-07-25,India,239051.86,138468.61,0.401,False,Customer asked for 50 discount,INR,INR
Globex Inc,00722,2024-12-10,EMEA,335420.35,296819.52,0.09699999999999999,False,Fast shipping requested,EUR,EUR
Acme Corp,00799,2024-07-03,North America,3191619.21,1990928.22,0.354,True,Quarterly renewal,USD,USD
Globex Inc,00766,2024-03-14,USA,251144.65,215832.12,0.402,True,Standard order,USD,USD
Dunder Mifflin,00315,2024-06-16,India,12291667.18,101198.76,0.27,True,Account upgrade pending,USD,INR
Cyberdyne Systems,00758,2024-12-21,LATAM,3176335.24,2378196.59,0.132,False,,USD,USD
Globex Inc,00345,2024-11-25,APAC,-121976.25,109321.87,-0.26,True,Account upgrade pending,INR,INR
Pied Piper,00606,2024-06-11,USA,4460429.02,3221304.27,0.484,True,Fast shipping requested,USD,USD
Acme Corp,00948,2024-04-24,EMEA,2997616.58,2153313.88,0.38,False,Quarterly renewal,EUR,EUR
Soylent Corp,00706,2024-09-08,Europe,6793899.44,4018709.13,0.145,True,Account upgrade pending,GBP,GBP
Globex Inc,00462,2024-12-19,APAC,114143.26,65128.46,0.315,False,Customer asked for 50 discount,INR,INR
Initech LLC,00032,2024-01-21,LATAM,-223870.6,150124.31,-0.517,True,,USD,USD
Dunder Mifflin,00303,2024-03-18,LATAM,1709343.79,1534135.72,0.45899999999999996,False,Fast shipping requested,USD,USD
Acme Corp,00997,2024-11-17,USA,3534217.59,2895611.44,0.061,False,,USD,USD
Wayne Enterprises,00554,2024-04-20,LATAM,790976.82,677331.83,0.065,False,Standard order,USD,USD
Soylent Corp,00221,2024-08-01,APAC,64959.87,36791.17,0.405,True,,INR,INR
Pied Piper,00249,2024-11-23,Europe,1494798.65,1306776.39,0.244,False,VIP client priority support,EUR,EUR
Acme Corp,00705,2024-01-28,LATAM,3156678.7,2088322.7,0.12,False,,USD,USD
Soylent Corp,00879,2024-12-22,North America,3757821.19,3412405.96,0.16399999999999998,False,Fast shipping requested,USD,USD
Stark Industries,00877,2024-09-15,EMEA,4215240.71,3258722.72,0.408,False,Quarterly renewal,EUR,EUR
Stark Industries,00223,2024-04-23,Europe,6011597.6,3567323.67,0.16399999999999998,True,,EUR,EUR
Soylent Corp,00575,2024-09-08,EMEA,1648380.14,1219376.4,0.511,True,Quarterly renewal,EUR,EUR
Hooli Inc,00330,2024-10-14,LATAM,1077296.05,944966.4,0.24600000000000002,True,Quarterly renewal,USD,USD
Wayne Enterprises,00593,2024-11-20,Europe,2514689.45,2093336.96,0.39799999999999996,False,Account upgrade pending,GBP,GBP
Cyberdyne Systems,00153,2024-03-28,USA,-3501566.16,3012941.03,-0.073,True,,USD,USD
Cyberdyne Systems,00872,2024-02-20,USA,2496692.97,1943922.87,0.27699999999999997,True,,USD,USD
Globex Inc,00431,2024-05-12,APAC,9199.94,7827.94,0.478,True,,INR,INR
Cyberdyne Systems,00256,2024-06-21,North America,3068624.77,1963879.34,0.439,False,Standard order,USD,USD
Umbrella Corp,00425,2024-09-25,LATAM,2828118.29,1637311.64,0.353,True,,USD,USD
Dunder Mifflin,00245,2024-02-01,North America,-6003801.16,4553875.46,-0.198,True,VIP client priority support,USD,USD
Initech LLC,00850,2024-05-15,LATAM,3350133.55,2298878.01,0.20600000000000002,True,Fast shipping requested,USD,USD
Globex Inc,00773,2024-04-14,EMEA,2140631.81,1786425.76,,False,,EUR,EUR
Soylent Corp,00374,2024-11-03,India,25995.06,20247.24,0.08900000000000001,False,VIP client priority support,INR,INR
Initech LLC,00408,2024-01-24,EMEA,2789294.75,2319851.39,0.253,False,,EUR,EUR
Umbrella Corp,00036,2024-10-02,APAC,216610.95,120125.07,0.391,True,,INR,INR
Cyberdyne Systems,00711,2024-03-18,LATAM,622474.9,378790.23,0.191,True,Customer asked for 50 discount,USD,USD
Soylent Corp,00748,2024-04-10,USA,2039780.32,1837973.71,0.428,True,,USD,USD
Acme Corp,00618,2024-06-22,North America,1193047.67,831970.22,0.34700000000000003,True,Account upgrade pending,USD,USD
Wayne Enterprises,00297,2024-06-25,Europe,-1351009.18,1126766.77,-0.493,True,,GBP,GBP
Pied Piper,00861,2024-07-15,USA,1622237.71,1287579.02,0.085,False,,USD,USD
Globex Inc,00528,2024-06-01,Europe,700439.9,449574.39,0.33799999999999997,False,,EUR,EUR
Hooli Inc,00998,2024-02-26,Europe,4671055.21,3533454.82,0.226,False,,EUR,EUR
Cyberdyne Systems,00363,2024-02-28,APAC,26034.43,22326.8,0.21100000000000002,False,,INR,INR
Hooli Inc,00497,2024-12-27,APAC,-15947.35,12965.01,-0.10099999999999999,True,Quarterly renewal,INR,INR
Globex Inc,00188,2024-06-18,India,61804.61,43255.04,,False,,INR,INR
Wayne Enterprises,00014,2024-12-19,USA,425955.78,250312.5,0.203,True,,USD,USD
Globex Inc,00999,2024-10-23,USA,2328200.84,2008868.84,0.382,False,Fast shipping requested,USD,USD
Acme Corp,00147,2024-04-16,EMEA,1066294.62,739722.43,0.249,False,VIP client priority support,GBP,GBP
Globex Inc,00180,2024-03-22,LATAM,2497672.86,2130346.72,0.278,False,,USD,USD
Globex Inc,00678,2024-11-26,LATAM,1802374.6,1096814.64,0.424,True,Customer asked for 50 discount,USD,USD
Soylent Corp,00560,2024-12-18,EMEA,3104320.36,2294087.39,0.305,False,Standard order,EUR,EUR
Initech LLC,00461,2024-12-19,India,189079.65,124821.37,0.214,False,Fast shipping requested,INR,INR
Soylent Corp,00224,2024-11-10,Europe,5816554.7,4949923.11,0.3,True,Account upgrade pending,GBP,GBP
Initech LLC,00309,2024-09-21,EMEA,5741844.51,5266533.99,0.457,False,Account upgrade pending,EUR,EUR
Soylent Corp,00789,2024-10-03,Europe,2792312.49,1613791.86,0.239,False,Account upgrade pending,GBP,GBP
Stark Industries,00983,2024-10-23,LATAM,3894701.41,3007465.75,0.45,False,Quarterly renewal,USD,USD
Wayne Enterprises,00854,2024-05-28,North America,3782859.56,2759880.21,0.073,False,Standard order,USD,USD
Umbrella Corp,00961,2024-01-18,Europe,3180804.75,2921272.2,0.192,True,Fast shipping requested,GBP,GBP
Acme Corp,00379,2024-06-15,EMEA,3915848.06,3205575.09,0.09300000000000001,True,,EUR,EUR
Umbrella Corp,00145,2024-09-20,India,89175.67,53025.61,0.275,True,Fast shipping requested,INR,INR
Umbrella Corp,00330,2024-03-07,EMEA,445330.69,337746.46,0.215,False,VIP client priority support,EUR,EUR
Wayne Enterprises,00640,2024-04-27,USA,3939059.01,2726190.15,0.11599999999999999,True,Quarterly renewal,USD,USD
Globex Inc,00625,2024-11-22,India,55334.2,42859.82,0.354,True,,INR,INR
Wayne Enterprises,00125,2024-02-10,North America,6587557.5,5899500.28,0.317,False,VIP client priority support,USD,USD
Stark Industries,00987,2024-01-15,Europe,267288.57,152988.44,0.345,False,,EUR,EUR
Initech LLC,00421,2024-05-17,APAC,243706.78,148049.32,0.409,False,Fast shipping requested,INR,INR
Pied Piper,00725,2024-01-20,LATAM,-503864.6,385105.67,-0.363,False,VIP client priority support,USD,USD
Umbrella Corp,00022,2024-03-01,USA,3495305.9,2935026.87,0.11,True,Fast shipping requested,USD,USD
Dunder Mifflin,00353,2024-05-26,Europe,3927860.18,2881378.67,0.45399999999999996,True,Customer asked for 50 discount,EUR,EUR
Umbrella Corp,00925,2024-04-16,India,64915.11,47034.43,0.488,False,,INR,INR
Soylent Corp,00339,2024-05-26,North America,3818815.56,2269057.67,0.155,True,,USD,USD
Umbrella Corp,00908,2024-05-22,LATAM,76062.07,47176.23,0.193,False,Account upgrade pending,USD,USD
Massive Dynamic,00515,2024-12-19,Europe,199289.37,149541.64,0.055,False,,GBP,GBP
Initech LLC,00754,2024-04-09,EMEA,6076883.26,3662404.61,0.159,False,Account upgrade pending,EUR,EUR
Stark Industries,00775,2024-11-16,APAC,2076678.83,17735.62,0.161,True,,USD,INR
Initech LLC,00861,2024-06-23,USA,916235.42,765014.63,0.261,True,,USD,USD
Hooli Inc,00997,2024-08-19,Europe,690272.04,585909.93,0.33399999999999996,True,VIP client priority support,GBP,GBP
Umbrella Corp,00738,2024-01-09,North America,5475699.19,3363892.06,0.311,True,,USD,USD
Umbrella Corp,00833,2024-01-17,Europe,6139219.0,3673491.09,0.34600000000000003,False,Customer asked for 50 discount,EUR,EUR
Umbrella Corp,00032,2024-11-19,APAC,-3116715.92,31469.86,-0.254,False,,USD,INR
Stark Industries,00040,2024-03-26,LATAM,1133565.41,800415.27,0.33899999999999997,False,Customer asked for 50 discount,USD,USD
Stark Industries,00431,2024-01-28,India,53867.16,47258.81,0.42700000000000005,False,Account upgrade pending,INR,INR
Stark Industries,00567,2024-06-28,Europe,1350187.81,901904.64,0.41600000000000004,False,,GBP,GBP
Hooli Inc,00795,2024-04-02,India,135753.94,114407.69,0.495,False,Account upgrade pending,INR,INR
Cyberdyne Systems,00190,2024-12-23,North America,196927.63,159355.39,0.315,False,,USD,USD
Pied Piper,00189,2024-02-14,LATAM,123425.2,88532.75,0.33899999999999997,True,VIP client priority support,USD,USD
Hooli Inc,00070,2024-03-17,APAC,212387.82,184447.71,0.493,True,Account upgrade pending,INR,INR
Pied Piper,00340,2024-12-18,North America,4336400.4,2664522.94,0.48700000000000004,True,VIP client priority support,USD,USD
Wayne Enterprises,00324,2024-03-22,USA,5680131.3,4744087.15,0.2,False,Quarterly renewal,USD,USD
Acme Corp,00589,2024-03-28,APAC,245683.02,150387.08,0.38299999999999995,True,,INR,INR
Dunder Mifflin,00281,2024-12-20,North America,4811249.22,2731897.72,0.128,False,Account upgrade pending,USD,USD
Globex Inc,00394,2024-10-28,APAC,23058.8,19898.18,0.49700000000000005,True,,INR,INR
Cyberdyne Systems,00759,2024-10-15,APAC,177603.64,126025.7,0.254,True,Quarterly renewal,INR,INR
Soylent Corp,00429,2024-11-21,USA,2628025.82,1979889.55,0.052000000000000005,False,,USD,USD
Soylent Corp,00109,2024-03-19,APAC,121024.81,71736.04,0.47100000000000003,False,,INR,INR
Wayne Enterprises,00199,2024-06-25,EMEA,2915873.25,1847816.65,0.40399999999999997,True,Account upgrade pending,EUR,EUR
Globex Inc,00433,2024-07-20,Europe,2626705.84,1965144.56,0.46399999999999997,True,,EUR,EUR
Initech LLC,00045,2024-02-17,India,45955.37,28878.33,0.087,True,VIP client priority support,INR,INR
Massive Dynamic,00274,2024-02-15,EMEA,5354773.11,3974765.77,0.379,False,Fast shipping requested,EUR,EUR
Wayne Enterprises,00163,2024-02-16,North America,5791577.1,5071396.22,0.358,False,Standard order,USD,USD
Cyberdyne Systems,00292,2024-10-17,LATAM,198097.98,170631.69,0.162,True,Account upgrade pending,USD,USD
Dunder Mifflin,00355,2024-08-22,Europe,4284876.77,3898483.02,0.4,True,Customer asked for 50 discount,EUR,EUR
Initech LLC,00436,2024-04-15,India,104756.74,76393.89,0.076,True,Customer asked for 50 discount,INR,INR
Initech LLC,00528,2024-09-17,LATAM,-3510652.17,2177497.14,-0.066,True,Account upgrade pending,USD,USD
Initech LLC,00213,2024-07-09,EMEA,4261970.41,2725602.75,0.501,False,Account upgrade pending,EUR,EUR
Hooli Inc,00177,2024-12-21,Europe,328479.53,284435.42,0.154,True,Customer asked for 50 discount,EUR,EUR
Acme Corp,00429,2024-11-13,India,-163606.03,126372.98,-0.428,True,Customer asked for 50 discount,INR,INR
Wayne Enterprises,00926,2024-08-24,LATAM,2726535.47,2286223.99,0.098,False,Account upgrade pending,USD,USD
Globex Inc,00672,2024-02-11,India,247148.44,194510.78,0.384,True,Quarterly renewal,INR,INR
Cyberdyne Systems,00539,2024-07-10,Europe,4511791.1,3575586.14,0.247,True,Quarterly renewal,EUR,EUR
Hooli Inc,00753,2024-11-20,USA,6051896.76,4832991.92,0.445,True,Customer asked for 50 discount,USD,USD
Umbrella Corp,00492,2024-12-21,North America,6005664.82,4757332.13,0.46,True,Account upgrade pending,USD,USD
Pied Piper,00609,2024-01-27,EMEA,-4330741.71,3895031.88,-0.285,False,,GBP,GBP
Globex Inc,00315,2024-03-14,LATAM,3954272.67,3410543.19,0.11699999999999999,True,Fast shipping requested,USD,USD
Stark Industries,00350,2024-06-18,USA,1404663.86,1174595.3,0.419,True,,USD,USD
Acme Corp,00449,2024-08-26,LATAM,-834279.77,567798.64,-0.201,False,Quarterly renewal,USD,USD
Dunder Mifflin,00702,2024-04-20,APAC,98969.87,75989.87,0.19,False,,INR,INR
Massive Dynamic,00546,2024-06-26,EMEA,3641291.03,3013324.12,,False,VIP client priority support,GBP,GBP
Soylent Corp,00761,2024-12-06,APAC,96922.15,76269.86,0.32899999999999996,True,Standard order,INR,INR
Dunder Mifflin,00716,2024-02-07,APAC,176957.71,110781.39,0.248,False,Customer asked for 50 discount,INR,INR
Massive Dynamic,00630,2024-09-02,USA,1893451.86,1591183.83,0.41600000000000004,True,Account upgrade pending,USD,USD
Initech LLC,00429,2024-08-18,EMEA,4305754.03,3133924.35,0.092,False,,EUR,EUR
Cyberdyne Systems,00982,2024-12-15,APAC,162862.51,117097.81,0.07400000000000001,True,Customer asked for 50 discount,INR,INR
Hooli Inc,00830,2024-07-23,USA,73376.94,44114.63,0.47,True,Fast shipping requested,USD,USD
Hooli Inc,00844,2024-07-18,EMEA,2029459.74,1405836.6,0.355,True,VIP client priority support,GBP,GBP
Initech LLC,00753,2024-10-07,APAC,49408.84,34117.19,0.37200000000000005,True,,INR,INR
Stark Industries,00125,2024-01-27,LATAM,93452.67,79800.96,0.4,True,Account upgrade pending,USD,USD
Globex Inc,00545,2024-07-16,USA,4433261.77,3490393.99,0.469,True,VIP client priority support,USD,USD
Globex Inc,00879,2024-03-28,LATAM,1355008.98,877171.54,0.309,True,Fast shipping requested,USD,USD
Stark Industries,00464,2024-02-27,Europe,4661001.06,2594195.18,0.308,False,Customer asked for 50 discount,EUR,EUR
Globex Inc,00585,2024-01-27,North America,5637204.82,3792880.07,0.387,False,Fast shipping requested,USD,USD
Umbrella Corp,00787,2024-06-20,USA,6437911.12,4236363.51,0.07200000000000001,True,,USD,USD
