 Customer Name / Client , Account # , Order Date (UTC) , Region / Territory , Gross Revenue , Unit Cost , Profit Margin % , Active Subscription? , Customer Notes / Log , Blank Column (Notes) 
Soylent Corp,00726,02/11/2024,APAC,"₹ 49,440.16","$ 34,608.11",16.6%,Y,Fast shipping requested,
Wayne Enterprises,00394,11/15/2024,EMEA,"$ 41,722.11","$ 29,205.48",11.5%,true,Fast shipping requested,
Hooli Inc,00723,02/21/2024,USA,"$ 30,495.64","$ 21,346.95",11.8%,false,Fast shipping requested,
Massive Dynamic,00478,11/09/2024,LATAM,"$ 34,439.28","$ 24,107.50",13.8%,true,Standard order,
Soylent Corp,00846,26/06/2024,APAC,"₹ 83,227.13","$ 58,258.99",7.6%,No,,
Soylent Corp,00676,11/13/2024,LATAM,"$ 22,996.71","$ 16,097.70",15.6%,Yes,-,
Stark Industries,00274,07/19/2024,USA,"$ 44,901.36","$ 31,430.95",21.0%,Yes,Fast shipping requested,
Stark Industries,00510,25/01/2024,APAC,"₹ 172,915.07","$ 121,040.55",11.1%,Yes,N/A,
Globex Inc,00070,10/13/2024,LATAM,"$ 49,806.46","$ 34,864.52",26.2%,No,Standard order,
Wayne Enterprises,00703,25/05/2024,India,"₹ 154,876.75","$ 108,413.72",18.6%,true,N/A,
Massive Dynamic,00469,24/12/2024,APAC,"₹ 56,360.86","$ 39,452.60",25.0%,Yes,-,
Wayne Enterprises,00896,11/10/2024,USA,"$ 25,432.38","$ 17,802.67",13.0%,true,Fast shipping requested,
Stark Industries,00981,17/01/2024,Europe,"€ 121,794.19","$ 85,255.93",24.5%,Y,,
Hooli Inc,00250,08/10/2024,APAC,"₹ 189,655.14","$ 132,758.60",8.4%,N,Standard order,
Stark Industries,00789,11/05/2024,North America,"$ 23,816.59","$ 16,671.61",27.0%,true,-,
Globex Inc,00438,12/18/2024,North America,"$ 34,524.39","$ 24,167.07",33.5%,N,,
Cyberdyne Systems,00926,15/02/2024,India,"₹ 53,341.59","$ 37,339.11",7.6%,Y,-,
Stark Industries,00240,08/01/2024,India,"₹ 18,843.65","$ 13,190.56",30.2%,Yes,Standard order,
Acme Corp,00885,09/03/2024,EMEA,"$ 11,976.43","$ 8,383.50",31.8%,Yes,-,
Massive Dynamic,00745,19/08/2024,India,"₹ 52,384.46","$ 36,669.12",23.9%,N,Fast shipping requested,
Wayne Enterprises,00104,06/14/2024,USA,"$ 21,236.57","$ 14,865.60",23.7%,false,Standard order,
Wayne Enterprises,00067,06/24/2024,LATAM,"$ 40,049.57","$ 28,034.70",9.4%,Yes,Fast shipping requested,
Stark Industries,00464,03/14/2024,North America,"$ 13,999.40","$ 9,799.58",15.0%,Y,N/A,
Stark Industries,00105,21/09/2024,APAC,"₹ 168,025.38","$ 117,617.77",43.8%,Yes,Fast shipping requested,
Dunder Mifflin,00502,07/07/2024,LATAM,"$ 45,131.90","$ 31,592.33",11.6%,Y,N/A,
Hooli Inc,00953,26/08/2024,Europe,"€ 60,623.60","$ 42,436.52",32.9%,false,-,
Cyberdyne Systems,00163,04/10/2024,North America,"$ 48,438.60","$ 33,907.02",28.2%,No,Standard order,
Pied Piper,00063,19/08/2024,APAC,"₹ 103,055.82","$ 72,139.07",39.1%,Yes,Standard order,
Stark Industries,00087,06/02/2024,Europe,"€ 121,031.85","$ 84,722.29",32.0%,Yes,N/A,
Wayne Enterprises,00969,08/10/2024,India,"₹ 120,931.23","$ 84,651.86",29.8%,N,-,
Globex Inc,00540,04/09/2024,EMEA,"$ 33,519.33","$ 23,463.53",17.6%,true,N/A,
Massive Dynamic,00692,08/10/2024,USA,"$ 15,877.24","$ 11,114.07",35.1%,Y,Standard order,
Cyberdyne Systems,00641,04/02/2024,India,"₹ 109,838.71","$ 76,887.10",25.2%,Yes,,
Wayne Enterprises,00905,05/12/2024,North America,"$ 7,971.57","$ 5,580.10",38.3%,false,,
Globex Inc,00831,01/17/2024,USA,"$ 33,426.37","$ 23,398.46",27.2%,false,Standard order,
Massive Dynamic,00275,04/12/2024,APAC,"₹ 112,878.61","$ 79,015.03",15.9%,No,Fast shipping requested,
Pied Piper,00213,05/21/2024,USA,"$ 25,319.91","$ 17,723.94",15.0%,Y,Standard order,
Dunder Mifflin,00854,01/02/2024,EMEA,"$ 16,744.47","$ 11,721.13",10.2%,true,Fast shipping requested,
Cyberdyne Systems,00569,09/14/2024,USA,$ 582.52,$ 407.76,8.0%,false,Fast shipping requested,
Stark Industries,00041,12/10/2024,Europe,"€ 112,742.39","$ 78,919.67",22.2%,Y,,
Pied Piper,00925,28/01/2024,Europe,"€ 180,290.30","$ 126,203.21",13.4%,Yes,Standard order,
Pied Piper,00803,28/07/2024,India,"₹ 194,898.22","$ 136,428.75",35.0%,Yes,Fast shipping requested,
Massive Dynamic,00907,03/01/2024,LATAM,"$ 36,854.57","$ 25,798.20",18.3%,N,Fast shipping requested,
Hooli Inc,00168,23/02/2024,Europe,"€ 79,595.64","$ 55,716.95",6.5%,N,Fast shipping requested,
Soylent Corp,00841,05/12/2024,LATAM,"$ 41,044.77","$ 28,731.34",39.9%,Yes,Standard order,
Soylent Corp,00413,02/09/2024,EMEA,"$ 48,347.77","$ 33,843.44",16.2%,false,-,
Dunder Mifflin,00700,18/06/2024,Europe,"€ 188,151.24","$ 131,705.87",9.6%,true,Fast shipping requested,
Globex Inc,00990,02/02/2024,EMEA,"$ 29,868.91","$ 20,908.24",18.8%,true,N/A,
Globex Inc,00528,13/10/2024,APAC,"₹ 42,065.36","$ 29,445.75",6.8%,N,Standard order,
Stark Industries,00952,18/11/2024,Europe,"€ 145,288.85","$ 101,702.19",34.7%,false,Fast shipping requested,
Pied Piper,00446,22/06/2024,APAC,"₹ 126,515.30","$ 88,560.71",31.5%,Y,,
Stark Industries,00321,06/14/2024,USA,"$ 20,179.78","$ 14,125.85",16.8%,Yes,Fast shipping requested,
Dunder Mifflin,00685,12/22/2024,LATAM,"$ 45,150.00","$ 31,605.00",29.6%,true,N/A,
Stark Industries,00858,10/05/2024,APAC,"₹ 45,985.62","$ 32,189.93",36.4%,No,,
Cyberdyne Systems,00457,04/22/2024,LATAM,"$ 25,607.58","$ 17,925.31",36.7%,false,Fast shipping requested,
Wayne Enterprises,00295,22/11/2024,India,"₹ 125,755.86","$ 88,029.10",8.7%,Yes,,
Soylent Corp,00830,01/05/2024,North America,"$ 2,406.06","$ 1,684.24",44.4%,No,Standard order,
Cyberdyne Systems,00429,04/19/2024,USA,"$ 35,945.46","$ 25,161.82",20.4%,N,Fast shipping requested,
Massive Dynamic,00676,02/01/2024,USA,"$ 38,943.18","$ 27,260.23",13.8%,false,-,
Cyberdyne Systems,00056,08/02/2024,India,"₹ 94,010.06","$ 65,807.04",37.1%,false,-,
Stark Industries,00614,08/25/2024,EMEA,"$ 30,671.35","$ 21,469.94",33.8%,No,N/A,
Stark Industries,00461,08/24/2024,North America,"$ 22,558.48","$ 15,790.94",35.1%,false,,
Stark Industries,00501,05/08/2024,USA,"$ 22,049.64","$ 15,434.75",33.5%,Yes,,
Pied Piper,00332,03/03/2024,India,"₹ 34,411.98","$ 24,088.39",20.3%,Yes,Fast shipping requested,
Wayne Enterprises,00429,09/11/2024,LATAM,"$ 23,349.62","$ 16,344.73",7.5%,N,N/A,
Globex Inc,00973,10/01/2024,USA,"$ 19,081.01","$ 13,356.71",5.2%,true,,
Dunder Mifflin,00878,14/09/2024,Europe,"€ 150,765.56","$ 105,535.89",26.8%,No,Fast shipping requested,
Cyberdyne Systems,00229,08/14/2024,EMEA,"$ 1,548.34","$ 1,083.84",18.4%,false,N/A,
Massive Dynamic,00865,10/05/2024,LATAM,"$ 26,752.77","$ 18,726.94",41.3%,No,-,
Acme Corp,00090,03/14/2024,USA,"$ 43,355.88","$ 30,349.12",12.3%,true,N/A,
Pied Piper,00221,06/11/2024,LATAM,"$ 38,085.36","$ 26,659.75",20.2%,N,,
Wayne Enterprises,00486,24/09/2024,APAC,"₹ 15,156.69","$ 10,609.68",43.1%,Yes,Standard order,
Acme Corp,00777,08/04/2024,APAC,"₹ 168,649.63","$ 118,054.74",29.9%,Yes,Fast shipping requested,
Cyberdyne Systems,00690,19/04/2024,APAC,"₹ 95,681.63","$ 66,977.14",15.2%,true,Fast shipping requested,
Globex Inc,00626,02/23/2024,USA,"$ 38,911.82","$ 27,238.27",11.6%,true,Standard order,
Globex Inc,00031,11/19/2024,EMEA,"$ 45,410.50","$ 31,787.35",20.0%,false,Fast shipping requested,
Wayne Enterprises,00611,11/27/2024,USA,"$ 12,218.18","$ 8,552.73",32.9%,true,-,
Wayne Enterprises,00820,26/01/2024,India,"₹ 72,704.73","$ 50,893.31",22.1%,true,Standard order,
Stark Industries,00668,07/01/2024,EMEA,"$ 41,134.31","$ 28,794.02",9.2%,true,N/A,
Massive Dynamic,00450,09/24/2024,North America,"$ 48,277.14","$ 33,794.00",15.8%,No,N/A,
Cyberdyne Systems,00451,24/10/2024,Europe,"€ 57,337.13","$ 40,135.99",39.1%,Y,,
Cyberdyne Systems,00254,15/10/2024,Europe,"€ 124,014.68","$ 86,810.28",20.2%,Y,N/A,
Grand Total,N/A,-,Summary,"$ 28,452,100.80","$ 17,210,400.00",39.5%,,Auto-generated report total,
