customer_name_client,account,order_date_utc,region_territory,gross_revenue,unit_cost,profit_margin,active_subscription,customer_notes_log
Umbrella Corp,00304,2024-02-25,North America,-43648.93,28721.0,-0.342,True,Standard order
Massive Dynamic,00083,2024-02-17,North America,44830.12,29632.71,,True,Fast shipping requested
Hooli Inc,00579,2024-05-13,APAC,70135.62,62070.02,0.115,True,Customer asked for $50 discount
Pied Piper,00959,2024-01-19,North America,34642.27,28302.73,0.183,False,Quarterly renewal
Stark Industries,00292,2024-02-10,LATAM,62614.0,59232.84,0.054000000000000006,True,Fast shipping requested
Globex Inc,00962,2024-02-04,APAC,9099.44,7689.03,0.155,True,Account upgrade pending
Soylent Corp,00258,2024-01-14,North America,-47754.19,30132.89,-0.369,True,Quarterly renewal
Vandelay Industries,00453,2024-05-21,LATAM,-42287.56,28628.68,-0.32299999999999995,False,Account upgrade pending
Massive Dynamic,00152,2024-04-20,EMEA,3616.25,1811.74,0.499,False,Fast shipping requested
Globex Inc,00363,2024-05-23,LATAM,73050.86,40177.97,0.45,True,Standard order
Initech LLC,00755,2024-03-26,LATAM,60266.52,30976.99,0.486,False,Quarterly renewal
Wonka Industries,00941,2024-04-27,APAC,23236.72,18844.98,0.18899999999999997,True,Customer asked for $50 discount
Dunder Mifflin,00522,2024-04-12,APAC,70473.17,32276.71,,True,Customer asked for $50 discount
Vandelay Industries,00806,2024-03-21,LATAM,45662.56,42374.86,0.07200000000000001,False,Customer asked for $50 discount
Cyberdyne Systems,00072,2024-06-19,APAC,46925.08,35006.11,0.254,True,Account upgrade pending
Initech LLC,00197,2024-04-17,LATAM,50960.19,48412.18,0.05,True,
Hooli Inc,00622,2024-06-16,APAC,35141.62,16516.56,0.53,False,Customer asked for $50 discount
Massive Dynamic,00680,2024-06-11,APAC,7457.35,6994.99,0.062,True,Account upgrade pending
Wonka Industries,00787,2024-01-19,LATAM,31375.86,25979.21,0.172,True,
Wonka Industries,00789,2024-01-28,LATAM,16803.66,14938.45,0.111,True,Fast shipping requested
Massive Dynamic,00573,2024-06-01,APAC,71277.95,38133.7,0.465,True,Fast shipping requested
Wonka Industries,00487,2024-04-25,APAC,56507.37,45940.49,0.187,True,Quarterly renewal
Wayne Enterprises,00344,2024-03-22,North America,10808.87,8030.99,0.257,True,VIP client priority support
Acme Corp,00212,2024-04-17,LATAM,,,,True,
Cyberdyne Systems,00874,2024-04-17,EMEA,,,0.384,True,
Soylent Corp,00942,2024-02-02,North America,,,0.264,True,Standard order
Wayne Enterprises,00389,2024-03-24,EMEA,34375.1,18356.3,0.466,False,VIP client priority support
Acme Corp,00768,2024-05-18,North America,74993.13,69743.61,,False,
Acme Corp,00637,2024-02-09,EMEA,9903.46,5615.26,0.433,False,
Wonka Industries,00168,2024-03-20,North America,43612.01,20890.15,0.521,False,Standard order
Vandelay Industries,00792,2024-03-18,North America,59818.93,45761.48,0.235,False,Standard order
Wonka Industries,00431,2024-05-05,North America,32797.49,24007.76,0.268,True,Account upgrade pending
Pied Piper,00942,2024-05-17,LATAM,35133.1,31865.72,0.09300000000000001,False,
Soylent Corp,00584,2024-06-05,LATAM,25561.55,14084.41,0.449,True,Account upgrade pending
Acme Corp,00530,2024-02-18,North America,18481.03,11587.61,0.373,True,Standard order
Wayne Enterprises,00227,2024-04-13,EMEA,23312.35,10537.18,0.5479999999999999,False,Fast shipping requested
Soylent Corp,00278,2024-03-19,APAC,17675.08,10693.42,0.395,True,Customer asked for $50 discount
Vandelay Industries,00604,2024-05-14,APAC,73548.04,43834.63,0.40399999999999997,True,Standard order
Massive Dynamic,00300,2024-06-27,EMEA,,,0.285,True,Standard order
Wayne Enterprises,00964,2024-05-02,North America,61747.62,53967.42,0.126,True,Standard order
Umbrella Corp,00122,2024-05-22,LATAM,45670.67,33293.92,0.271,True,Customer asked for $50 discount
Hooli Inc,00636,2024-01-16,North America,71095.47,59009.24,0.17,True,Standard order
Cyberdyne Systems,00462,2024-06-25,LATAM,22198.82,20289.72,0.086,True,
Pied Piper,00641,2024-05-30,EMEA,32172.85,28279.94,0.121,True,Account upgrade pending
Vandelay Industries,00845,2024-05-25,APAC,33216.93,23251.85,0.3,False,Account upgrade pending
Acme Corp,00911,2024-04-20,APAC,45476.67,30105.56,0.33799999999999997,True,Account upgrade pending
Acme Corp,00782,2024-02-14,LATAM,39162.81,24790.06,0.36700000000000005,False,VIP client priority support
Stark Industries,00419,2024-03-26,APAC,50424.95,24052.7,0.523,True,VIP client priority support
Globex Inc,00323,2024-03-05,APAC,9136.16,4705.12,0.485,True,Quarterly renewal
Massive Dynamic,00371,2024-06-08,LATAM,47092.95,34424.95,0.26899999999999996,False,Standard order
Dunder Mifflin,00624,2024-03-02,EMEA,23650.89,11683.54,0.506,False,Fast shipping requested
Wonka Industries,00158,2024-05-07,APAC,38410.97,27732.72,0.278,False,Account upgrade pending
Massive Dynamic,00765,2024-02-04,North America,21080.43,20005.33,0.051,True,
Initech LLC,00458,2024-05-17,LATAM,26211.73,13499.04,0.485,False,Account upgrade pending
Cyberdyne Systems,00240,2024-04-15,North America,24204.14,14958.16,0.382,True,VIP client priority support
Acme Corp,00130,2024-05-08,APAC,65292.67,57326.96,0.122,True,Standard order
Soylent Corp,00801,2024-03-08,APAC,46932.83,24405.07,0.48,False,Fast shipping requested
Vandelay Industries,00909,2024-05-04,North America,46500.73,26830.92,0.423,False,
Dunder Mifflin,00721,2024-01-26,LATAM,12894.18,10354.03,0.19699999999999998,True,Quarterly renewal
Massive Dynamic,00422,2024-05-24,EMEA,13163.78,9227.81,0.299,False,VIP client priority support
Dunder Mifflin,00261,2024-04-27,APAC,50179.63,36580.95,0.271,True,Fast shipping requested
Cyberdyne Systems,00707,2024-03-05,LATAM,63475.14,48177.63,0.24100000000000002,True,Fast shipping requested
Wayne Enterprises,00023,2024-06-17,LATAM,20948.79,10369.65,0.505,True,
Pied Piper,00236,2024-06-04,APAC,16815.84,10425.82,0.38,False,Fast shipping requested
Dunder Mifflin,00041,2024-03-20,LATAM,2985.66,1719.74,0.424,True,
Massive Dynamic,00898,2024-04-03,APAC,62370.21,50020.91,0.198,False,VIP client priority support
Globex Inc,00145,2024-02-27,LATAM,72561.6,49487.01,0.318,True,Account upgrade pending
Cyberdyne Systems,00843,2024-06-12,APAC,8571.78,6737.42,0.214,False,Fast shipping requested
Wonka Industries,00476,2024-06-28,APAC,48868.34,34403.31,0.29600000000000004,True,VIP client priority support
Soylent Corp,00380,2024-06-20,LATAM,44256.86,28412.9,0.358,True,Standard order
Vandelay Industries,00380,2024-02-25,LATAM,33629.84,22801.03,0.322,False,Standard order
Cyberdyne Systems,00283,2024-02-18,North America,71201.3,33037.4,0.536,False,Quarterly renewal
Initech LLC,00806,2024-05-24,EMEA,5611.46,4410.61,0.214,True,Customer asked for $50 discount
Wonka Industries,00149,2024-02-03,APAC,,,0.22899999999999998,False,Standard order
Initech LLC,00272,2024-01-14,EMEA,55758.0,42877.9,0.231,True,Account upgrade pending
Umbrella Corp,00969,2024-06-06,North America,54679.6,24660.5,0.5489999999999999,True,Fast shipping requested
Globex Inc,00503,2024-04-23,North America,67495.37,42724.57,0.36700000000000005,False,VIP client priority support
Hooli Inc,00544,2024-03-16,LATAM,38163.56,23852.22,0.375,False,VIP client priority support
Soylent Corp,00910,2024-02-28,LATAM,25750.41,20445.83,0.20600000000000002,True,Fast shipping requested
Soylent Corp,00069,2024-01-24,North America,7445.64,6849.99,0.08,False,Fast shipping requested
Globex Inc,00421,2024-03-31,LATAM,65172.87,43079.27,0.33899999999999997,True,Quarterly renewal
Wonka Industries,00111,2024-03-30,APAC,9058.96,4194.3,0.537,True,Account upgrade pending
Dunder Mifflin,00850,2024-06-26,APAC,2657.01,2516.19,0.053,True,Standard order
Initech LLC,00759,2024-06-11,North America,7335.95,5612.0,0.235,False,Standard order
Initech LLC,00162,2024-06-07,North America,50710.67,37678.03,0.257,False,Customer asked for $50 discount
Cyberdyne Systems,00114,2024-03-13,LATAM,-39756.59,36695.33,-0.077,False,Customer asked for $50 discount
Umbrella Corp,00786,2024-02-05,APAC,-22063.81,19526.47,-0.115,False,Account upgrade pending
Massive Dynamic,00854,2024-06-20,APAC,5869.62,4654.61,0.207,True,Fast shipping requested
Dunder Mifflin,00428,2024-03-15,North America,30674.91,18558.32,0.395,True,
Globex Inc,00250,2024-04-21,LATAM,39535.21,22139.72,0.44,False,Account upgrade pending
Massive Dynamic,00199,2024-03-30,APAC,54689.74,35493.64,0.35100000000000003,False,Quarterly renewal
Pied Piper,00644,2024-05-06,LATAM,56706.21,35838.32,0.368,False,Quarterly renewal
Soylent Corp,00070,2024-04-30,LATAM,47538.19,34179.96,,True,Standard order
Dunder Mifflin,00885,2024-01-24,LATAM,34972.02,17311.15,0.505,False,Customer asked for $50 discount
Hooli Inc,00488,2024-05-08,EMEA,71850.32,42607.24,0.40700000000000003,True,Standard order
Umbrella Corp,00725,2024-04-22,LATAM,39543.11,29499.16,0.254,True,
Dunder Mifflin,00663,2024-03-26,North America,25061.96,15588.54,0.37799999999999995,True,Customer asked for $50 discount
Globex Inc,00597,2024-06-18,EMEA,68797.61,44856.04,0.348,True,Account upgrade pending
Cyberdyne Systems,00659,2024-03-25,EMEA,50423.67,47448.67,0.059000000000000004,False,Customer asked for $50 discount
Pied Piper,00498,2024-02-19,EMEA,-74998.26,52198.79,-0.304,True,Fast shipping requested
Stark Industries,00898,2024-06-07,EMEA,44994.86,24522.2,0.455,True,Standard order
Cyberdyne Systems,00374,2024-06-22,EMEA,72734.35,49677.56,0.317,True,
Umbrella Corp,00377,2024-06-22,LATAM,34895.16,30323.89,0.131,True,
Wayne Enterprises,00054,2024-06-13,LATAM,65621.71,58272.08,0.11199999999999999,True,Customer asked for $50 discount
Soylent Corp,00928,2024-05-11,EMEA,62412.98,48370.06,,True,Account upgrade pending
Stark Industries,00242,2024-04-08,North America,28430.99,22233.03,0.218,True,Customer asked for $50 discount
Wonka Industries,00484,2024-06-27,EMEA,,,0.06,True,Account upgrade pending
Vandelay Industries,00624,2024-05-15,LATAM,8783.42,5542.34,0.369,False,Standard order
Wonka Industries,00927,2024-05-07,North America,47580.64,30594.35,0.35700000000000004,True,Quarterly renewal
Dunder Mifflin,00685,2024-01-22,APAC,5542.11,5209.58,0.06,True,Fast shipping requested
Cyberdyne Systems,00383,2024-03-05,North America,27103.49,15286.37,0.436,False,Quarterly renewal
Acme Corp,00361,2024-05-19,APAC,61106.41,43446.66,0.289,True,Standard order
Vandelay Industries,00795,2024-04-27,North America,22361.47,17777.37,0.205,True,Customer asked for $50 discount
Acme Corp,00772,2024-06-14,EMEA,21815.26,16710.49,0.23399999999999999,True,VIP client priority support
Stark Industries,00998,2024-02-17,LATAM,52059.1,30506.63,0.414,True,Account upgrade pending
Wayne Enterprises,00329,2024-01-27,North America,24930.03,15082.67,0.395,True,Fast shipping requested
Wonka Industries,00934,2024-03-31,LATAM,-20954.37,14521.38,-0.307,True,Standard order
Initech LLC,00870,2024-06-04,LATAM,3092.52,1468.95,,True,Customer asked for $50 discount
Stark Industries,00455,2024-01-20,EMEA,39944.76,37428.24,0.063,True,Account upgrade pending
Globex Inc,00269,2024-03-07,LATAM,16485.5,14655.61,0.111,True,Quarterly renewal
Vandelay Industries,00456,2024-01-23,APAC,50254.06,43771.29,0.129,True,
Stark Industries,00521,2024-02-27,North America,73892.37,49064.53,0.336,True,Account upgrade pending
Globex Inc,00068,2024-03-20,LATAM,74969.83,68447.45,0.087,False,VIP client priority support
Soylent Corp,00697,2024-05-12,APAC,10060.93,7384.72,0.266,True,
Globex Inc,00531,2024-02-09,APAC,12766.95,8821.96,0.309,False,Customer asked for $50 discount
Umbrella Corp,00651,2024-05-21,APAC,9825.19,6425.67,0.34600000000000003,True,Fast shipping requested
Hooli Inc,00738,2024-06-03,APAC,-63268.49,58649.89,-0.073,True,Fast shipping requested
Umbrella Corp,00786,2024-05-26,LATAM,46549.08,21971.17,0.528,True,Customer asked for $50 discount
Soylent Corp,00075,2024-06-25,North America,12276.99,9747.93,0.20600000000000002,False,VIP client priority support
Initech LLC,00779,2024-04-04,North America,24274.13,22453.57,0.075,True,Quarterly renewal
Wonka Industries,00924,2024-02-10,APAC,70064.49,50236.24,0.28300000000000003,True,Standard order
Globex Inc,00968,2024-04-10,LATAM,72518.15,47209.32,0.349,True,Customer asked for $50 discount
Massive Dynamic,00009,2024-01-28,LATAM,10478.15,7858.61,0.25,False,Customer asked for $50 discount
Massive Dynamic,00296,2024-01-19,LATAM,38067.04,33917.73,0.109,True,Customer asked for $50 discount
Pied Piper,00348,2024-05-22,APAC,56744.91,52829.51,0.069,True,Account upgrade pending
Soylent Corp,00153,2024-06-04,EMEA,24933.46,13189.8,0.47100000000000003,True,Fast shipping requested
Hooli Inc,00307,2024-05-01,North America,27942.66,16402.34,0.413,True,Account upgrade pending
Soylent Corp,00272,2024-06-16,EMEA,54244.31,30539.55,0.43700000000000006,False,Standard order
Hooli Inc,00971,2024-06-28,North America,14713.43,10961.51,0.255,True,
Wonka Industries,00754,2024-01-16,EMEA,39141.9,31039.53,0.207,False,Account upgrade pending
Stark Industries,00693,2024-06-23,APAC,45950.71,22010.39,0.521,True,Fast shipping requested
Umbrella Corp,00707,2024-06-29,LATAM,24119.54,19440.35,0.19399999999999998,True,VIP client priority support
Wonka Industries,00354,2024-02-07,APAC,3633.95,2580.1,0.29,True,Account upgrade pending
Vandelay Industries,00279,2024-02-05,North America,46367.94,38809.97,0.163,False,VIP client priority support
Stark Industries,00735,2024-04-30,North America,-51248.8,38282.85,-0.253,True,VIP client priority support
Dunder Mifflin,00205,2024-03-14,APAC,21763.44,14842.67,0.318,True,Quarterly renewal
Cyberdyne Systems,00904,2024-02-15,North America,74789.3,38441.7,0.486,True,Standard order
Wayne Enterprises,00582,2024-06-03,North America,69669.89,48977.93,0.297,True,Customer asked for $50 discount
Umbrella Corp,00829,2024-01-29,APAC,12605.82,9845.15,0.21899999999999997,False,Quarterly renewal
Hooli Inc,00877,2024-06-12,LATAM,62110.74,28508.83,0.541,False,Standard order
Wayne Enterprises,00393,2024-03-01,LATAM,56654.87,35295.98,0.377,True,Fast shipping requested
Globex Inc,00477,2024-03-19,EMEA,30703.54,18575.64,0.395,True,Customer asked for $50 discount
Hooli Inc,00227,2024-02-26,EMEA,36124.55,24384.07,0.325,False,
Umbrella Corp,00697,2024-06-01,North America,39650.25,36438.58,0.081,False,Account upgrade pending
Massive Dynamic,00154,2024-02-12,APAC,64159.21,58064.09,0.095,True,VIP client priority support
Initech LLC,00526,2024-04-16,LATAM,42511.38,31968.56,0.248,False,Account upgrade pending
Globex Inc,00047,2024-04-18,APAC,52678.67,25443.8,,True,
Initech LLC,00785,2024-06-13,LATAM,28397.34,25841.58,0.09,True,Fast shipping requested
Wonka Industries,00357,2024-01-31,EMEA,74467.08,70594.79,,True,Fast shipping requested
Vandelay Industries,00558,2024-04-18,LATAM,61840.35,31662.26,0.488,True,
Dunder Mifflin,00430,2024-06-06,North America,,,0.386,False,Fast shipping requested
Acme Corp,00412,2024-04-22,EMEA,40712.11,20030.36,0.508,False,Quarterly renewal
Wayne Enterprises,00898,2024-02-06,EMEA,-31310.24,15467.26,-0.506,True,Account upgrade pending
Soylent Corp,00049,2024-03-29,LATAM,59042.44,50658.41,0.142,False,
Umbrella Corp,00308,2024-02-06,LATAM,68648.22,51898.05,0.244,False,Fast shipping requested
Globex Inc,00945,2024-04-25,APAC,-7388.57,4795.18,-0.35100000000000003,False,Quarterly renewal
Pied Piper,00780,2024-05-30,EMEA,36214.87,30963.71,0.145,True,Quarterly renewal
Vandelay Industries,00619,2024-06-29,EMEA,30049.09,20523.53,0.317,True,Customer asked for $50 discount
Massive Dynamic,00904,2024-05-07,LATAM,7846.31,6229.97,,True,Standard order
Wayne Enterprises,00567,2024-05-29,LATAM,22491.83,15744.28,0.3,False,Customer asked for $50 discount
Pied Piper,00842,2024-05-05,LATAM,34831.76,17137.23,0.508,True,Account upgrade pending
Acme Corp,00860,2024-01-20,North America,57443.24,50205.39,0.126,True,Customer asked for $50 discount
Acme Corp,00633,2024-06-12,LATAM,-49616.68,46738.91,-0.057999999999999996,True,Account upgrade pending
Wayne Enterprises,00018,2024-05-08,LATAM,60559.49,51717.8,0.146,False,Customer asked for $50 discount
Pied Piper,00407,2024-01-21,APAC,71967.69,43756.36,0.392,True,Standard order
Cyberdyne Systems,00389,2024-04-06,LATAM,4680.56,2939.39,0.37200000000000005,False,Account upgrade pending
Acme Corp,00236,2024-02-24,LATAM,20696.58,12852.58,0.379,False,Standard order
Umbrella Corp,00602,2024-02-06,LATAM,69701.18,52624.39,0.245,False,VIP client priority support
Pied Piper,00758,2024-02-05,North America,-37809.07,29491.07,-0.22,True,
Stark Industries,00031,2024-06-11,APAC,58874.34,43213.77,0.266,True,Standard order
Pied Piper,00634,2024-03-16,EMEA,53626.59,46816.01,0.127,False,Standard order
Globex Inc,00006,2024-03-19,LATAM,27313.85,18354.91,0.32799999999999996,False,Standard order
Globex Inc,00363,2024-05-21,North America,,,0.244,False,Account upgrade pending
Massive Dynamic,00174,2024-06-24,LATAM,13127.88,9622.74,0.267,True,
Globex Inc,00370,2024-03-05,EMEA,54207.01,43257.19,0.20199999999999999,False,
Hooli Inc,00390,2024-03-25,LATAM,25437.85,21622.17,0.15,True,Customer asked for $50 discount
Wayne Enterprises,00753,2024-06-26,LATAM,72598.35,55682.93,0.233,False,Account upgrade pending
Massive Dynamic,00185,2024-06-23,North America,71498.84,38180.38,0.466,True,Fast shipping requested
Soylent Corp,00143,2024-06-11,APAC,18530.58,8431.41,0.545,True,Account upgrade pending
Massive Dynamic,00946,2024-06-26,LATAM,41001.57,20213.77,0.507,False,Fast shipping requested
Dunder Mifflin,00364,2024-02-12,North America,42459.91,38086.54,0.10300000000000001,False,Account upgrade pending
Vandelay Industries,00532,2024-05-22,EMEA,33710.5,29496.69,0.125,True,Standard order
Wayne Enterprises,00426,2024-01-22,North America,62433.17,43016.45,0.311,False,VIP client priority support
Vandelay Industries,00714,2024-04-25,APAC,5504.49,3445.81,0.374,True,Fast shipping requested
Umbrella Corp,00529,2024-02-14,EMEA,25158.73,21586.19,0.142,True,VIP client priority support
Acme Corp,00756,2024-06-06,EMEA,33993.34,19512.18,0.426,False,Account upgrade pending
Globex Inc,00819,2024-05-17,EMEA,27751.58,19037.58,0.314,True,Account upgrade pending
Cyberdyne Systems,00602,2024-01-30,APAC,26722.88,21405.03,0.19899999999999998,False,Fast shipping requested
Initech LLC,00321,2024-01-31,EMEA,23250.81,15159.53,0.348,True,Quarterly renewal
Soylent Corp,00651,2024-05-17,EMEA,41840.99,26778.23,0.36,True,VIP client priority support
Initech LLC,00200,2024-04-08,LATAM,30980.51,28161.28,,True,Standard order
Wayne Enterprises,00231,2024-05-17,APAC,13031.57,9056.94,0.305,True,
Massive Dynamic,00844,2024-04-03,North America,57120.31,30559.37,0.465,True,
Acme Corp,00461,2024-03-08,APAC,64733.87,53858.58,0.168,False,
Vandelay Industries,00625,2024-06-10,LATAM,12865.63,8555.64,0.335,True,Customer asked for $50 discount
Vandelay Industries,00300,2024-03-15,APAC,71453.6,33511.74,0.531,True,Customer asked for $50 discount
Wonka Industries,00672,2024-02-02,EMEA,19100.95,13466.17,0.295,True,Fast shipping requested
Cyberdyne Systems,00385,2024-04-25,North America,47705.27,24377.39,0.489,True,Customer asked for $50 discount
Hooli Inc,00003,2024-01-24,LATAM,47795.62,22272.76,0.534,True,Customer asked for $50 discount
Stark Industries,00849,2024-03-13,APAC,41274.63,25136.25,,True,Standard order
Globex Inc,00952,2024-02-10,LATAM,34510.6,21569.12,0.375,True,Standard order
Dunder Mifflin,00370,2024-03-05,North America,-28202.36,16921.42,-0.4,False,VIP client priority support
Dunder Mifflin,00094,2024-06-29,North America,-580.93,354.37,-0.39,True,Standard order
Vandelay Industries,00352,2024-01-31,LATAM,-52205.31,28556.3,-0.45299999999999996,False,Customer asked for $50 discount
Stark Industries,00903,2024-03-17,EMEA,29012.72,19380.5,0.332,True,VIP client priority support
Stark Industries,00740,2024-02-24,EMEA,69032.11,62128.9,0.1,True,Customer asked for $50 discount
Cyberdyne Systems,00323,2024-02-05,EMEA,21134.09,17076.34,0.192,True,
Wonka Industries,00675,2024-03-18,EMEA,39072.31,21802.35,0.442,False,VIP client priority support
Cyberdyne Systems,00116,2024-03-02,LATAM,48037.13,23201.93,0.517,True,Customer asked for $50 discount
Massive Dynamic,00700,2024-02-14,LATAM,-71606.75,60292.88,-0.158,True,
Cyberdyne Systems,00519,2024-03-14,LATAM,32056.36,25997.71,0.18899999999999997,False,
Initech LLC,00550,2024-03-24,LATAM,44189.57,36721.53,0.16899999999999998,True,Standard order
Soylent Corp,00627,2024-06-04,North America,23542.11,20434.55,0.132,True,Quarterly renewal
Stark Industries,00130,2024-03-09,North America,57971.56,47478.71,0.18100000000000002,False,VIP client priority support
Soylent Corp,00524,2024-04-02,North America,37720.95,18973.64,0.49700000000000005,False,Quarterly renewal
Vandelay Industries,00522,2024-01-01,North America,64472.33,56413.29,0.125,True,Account upgrade pending
Pied Piper,00936,2024-06-16,LATAM,17226.39,15693.24,0.08900000000000001,True,Quarterly renewal
Umbrella Corp,00824,2024-05-12,North America,71578.92,56905.24,0.205,True,Standard order
Stark Industries,00206,2024-03-15,APAC,55598.41,31357.5,0.436,False,Quarterly renewal
Acme Corp,00955,2024-04-14,North America,17858.33,13965.21,0.218,True,
Vandelay Industries,00745,2024-03-19,North America,15786.98,13876.76,0.121,True,Quarterly renewal
Wonka Industries,00533,2024-04-15,APAC,34655.12,26095.31,0.247,True,VIP client priority support
Dunder Mifflin,00988,2024-02-03,EMEA,22229.86,17494.9,0.213,False,Standard order
Umbrella Corp,00140,2024-05-29,North America,12078.09,9312.21,0.22899999999999998,True,Customer asked for $50 discount
Soylent Corp,00272,2024-01-31,North America,12242.35,6512.93,0.46799999999999997,False,Fast shipping requested
Umbrella Corp,00992,2024-04-01,LATAM,38752.75,28987.06,0.252,False,Standard order
Soylent Corp,00105,2024-02-05,North America,1390.79,883.15,0.365,True,
Globex Inc,00023,2024-01-17,EMEA,67735.96,36983.83,0.45399999999999996,True,Standard order
Initech LLC,00947,2024-05-26,LATAM,61715.56,47706.13,0.22699999999999998,True,Customer asked for $50 discount
Soylent Corp,00905,2024-02-08,North America,46250.94,31219.38,0.325,True,VIP client priority support
Initech LLC,00430,2024-02-21,EMEA,47491.2,36568.22,0.23,True,Customer asked for $50 discount
Hooli Inc,00515,2024-03-23,LATAM,20647.46,11583.23,0.439,True,Account upgrade pending
Stark Industries,00786,2024-05-29,EMEA,73061.5,40476.07,0.446,False,Account upgrade pending
Wonka Industries,00817,2024-04-09,APAC,70172.85,42173.88,0.39899999999999997,True,Fast shipping requested
Vandelay Industries,00361,2024-05-25,EMEA,42451.61,28824.64,0.321,True,Standard order
Acme Corp,00239,2024-06-03,EMEA,-1984.64,1085.6,-0.45299999999999996,False,Fast shipping requested
Initech LLC,00941,2024-03-23,North America,2132.51,1465.03,0.313,False,Customer asked for $50 discount
Vandelay Industries,00965,2024-06-18,LATAM,44158.24,21019.32,0.524,True,Fast shipping requested
Stark Industries,00179,2024-05-23,APAC,17131.17,13756.33,0.19699999999999998,True,Fast shipping requested
Hooli Inc,00401,2024-05-25,North America,14065.09,9381.42,0.33299999999999996,True,Customer asked for $50 discount
Vandelay Industries,00080,2024-03-01,APAC,73687.28,45317.68,0.385,False,VIP client priority support
Acme Corp,00272,2024-02-23,EMEA,52141.62,39471.21,0.243,True,VIP client priority support
Soylent Corp,00903,2024-04-06,APAC,41178.79,23513.09,0.429,True,Standard order
Pied Piper,00867,2024-01-09,APAC,1995.81,1520.81,0.23800000000000002,False,Customer asked for $50 discount
Hooli Inc,00629,2024-05-03,North America,32633.59,25584.73,0.21600000000000003,True,Fast shipping requested
Massive Dynamic,00740,2024-05-18,APAC,49714.54,26348.71,0.47,False,Standard order
Cyberdyne Systems,00090,2024-03-16,LATAM,15375.77,10962.92,0.287,True,VIP client priority support
Soylent Corp,00917,2024-06-18,APAC,7289.7,6247.27,,True,Customer asked for $50 discount
Umbrella Corp,00858,2024-03-09,North America,11759.24,5468.05,0.535,True,
Cyberdyne Systems,00839,2024-05-13,LATAM,72439.26,54546.76,0.247,True,Account upgrade pending
Hooli Inc,00923,2024-05-12,EMEA,9461.0,5165.71,0.45399999999999996,True,Standard order
Dunder Mifflin,00446,2024-02-21,EMEA,62641.05,56752.79,0.094,False,
Wayne Enterprises,00533,2024-04-27,North America,59098.02,51710.77,0.125,False,Standard order
Hooli Inc,00799,2024-01-26,APAC,65126.91,43244.27,0.336,True,Customer asked for $50 discount
Cyberdyne Systems,00148,2024-06-07,LATAM,3389.3,2765.67,0.184,False,
Pied Piper,00311,2024-03-20,APAC,63292.07,36582.82,0.42200000000000004,False,Customer asked for $50 discount
Vandelay Industries,00427,2024-06-03,North America,14501.21,10034.84,0.308,True,Account upgrade pending
Pied Piper,00163,2024-01-17,APAC,53362.92,49947.69,0.064,False,
Acme Corp,00256,2024-01-09,LATAM,4266.67,2973.87,0.303,False,Fast shipping requested
Acme Corp,00248,2024-04-05,LATAM,44756.25,34820.36,0.222,True,Fast shipping requested
Wonka Industries,00706,2024-01-24,APAC,2545.06,1325.98,0.479,False,Customer asked for $50 discount
Dunder Mifflin,00420,2024-05-11,North America,64914.93,35703.21,0.45,True,Fast shipping requested
Vandelay Industries,00659,2024-03-11,LATAM,67213.48,46377.3,0.31,False,Standard order
Massive Dynamic,00679,2024-04-05,APAC,22736.46,17893.59,0.213,True,Quarterly renewal
Initech LLC,00530,2024-03-02,North America,60504.52,56692.74,0.063,True,Customer asked for $50 discount
