 Customer Name / Client , Account # , Order Date (UTC) , Region / Territory , Gross Revenue ($) , Unit Cost ($) , Profit Margin % , Active Subscription? , Customer Notes / Log , Blank Column (Notes) 
Pied Piper,00236,2024-06-04,APAC,"$16,815.84","$10,425.82",38.0%,N,Fast shipping requested,
Dunder Mifflin,00041,2024-03-20,LATAM,"$2,985.66","$1,719.74",42.4%,Yes,,
Massive Dynamic,00898,2024-04-03,APAC,"62,370.21","$50,020.91",19.8%,N,VIP client priority support,
Globex Inc,00145,2024-02-27,LATAM,"£72,561.60","$49,487.01",31.8%,true,Account upgrade pending,
Cyberdyne Systems,00843,2024-06-12,APAC,"8,571.78","$6,737.42",21.4%,N,Fast shipping requested,
Wonka Industries,00476,2024-06-28,APAC,"$48,868.34","$34,403.31",29.6%,Yes,VIP client priority support,
Soylent Corp,00380,2024-06-20,LATAM,"44,256.86","$28,412.90",35.8%,true,Standard order,
Vandelay Industries,00380,2024-02-25,LATAM,"$33,629.84","$22,801.03",32.2%,false,Standard order,
Cyberdyne Systems,00283,2024-02-18,North America,"€71,201.30","$33,037.40",53.6%,false,Quarterly renewal,
Initech LLC,00806,2024-05-24,EMEA,"5,611.46","$4,410.61",21.4%,Y,Customer asked for $50 discount,
Wonka Industries,00149,2024-02-03,APAC,-,-,22.9%,false,Standard order,
Initech LLC,00272,2024-01-14,EMEA,"£55,758.00","$42,877.90",23.1%,Yes,Account upgrade pending,
Umbrella Corp,00969,2024-06-06,North America,"£54,679.60","$24,660.50",54.9%,Y,Fast shipping requested,
Globex Inc,00503,2024-04-23,North America,"$67,495.37","$42,724.57",36.7%,false,VIP client priority support,
Hooli Inc,00544,2024-03-16,LATAM,"38,163.56","$23,852.22",37.5%,No,VIP client priority support,
Soylent Corp,00910,2024-02-28,LATAM,"€25,750.41","$20,445.83",20.6%,Yes,Fast shipping requested,
Soylent Corp,00069,2024-01-24,North America,"$7,445.64","$6,849.99",8.0%,false,Fast shipping requested,
Globex Inc,00421,2024-03-31,LATAM,"$65,172.87","$43,079.27",33.9%,Yes,Quarterly renewal,
Wonka Industries,00111,2024-03-30,APAC,"9,058.96","$4,194.30",53.7%,Y,Account upgrade pending,
Dunder Mifflin,00850,2024-06-26,APAC,"$2,657.01","$2,516.19",5.3%,Y,Standard order,
Initech LLC,00759,2024-06-11,North America,"£7,335.95","$5,612.00",23.5%,N,Standard order,
Initech LLC,00162,2024-06-07,North America,"$50,710.67","$37,678.03",25.7%,N,Customer asked for $50 discount,
Cyberdyne Systems,00114,2024-03-13,LATAM,"-$39,756.59","$36,695.33",(7.7%),No,Customer asked for $50 discount,
Umbrella Corp,00786,2024-02-05,APAC,"(22,063.81)","$19,526.47",(11.5%),No,Account upgrade pending,
Massive Dynamic,00854,2024-06-20,APAC,"$5,869.62","$4,654.61",20.7%,Y,Fast shipping requested,
Dunder Mifflin,00428,2024-03-15,North America,"$30,674.91","$18,558.32",39.5%,Y,,
Globex Inc,00250,2024-04-21,LATAM,"€39,535.21","$22,139.72",44.0%,N,Account upgrade pending,
Massive Dynamic,00199,2024-03-30,APAC,"$54,689.74","$35,493.64",35.1%,N,Quarterly renewal,
Pied Piper,00644,2024-05-06,LATAM,"£56,706.21","$35,838.32",36.8%,false,Quarterly renewal,
Soylent Corp,00070,2024-04-30,LATAM,"$47,538.19","$34,179.96",N/A,true,Standard order,
Dunder Mifflin,00885,2024-01-24,LATAM,"£34,972.02","$17,311.15",50.5%,No,Customer asked for $50 discount,
Hooli Inc,00488,2024-05-08,EMEA,"€71,850.32","$42,607.24",40.7%,Yes,Standard order,
Umbrella Corp,00725,2024-04-22,LATAM,"£39,543.11","$29,499.16",25.4%,Y,,
Dunder Mifflin,00663,2024-03-26,North America,"£25,061.96","$15,588.54",37.8%,Yes,Customer asked for $50 discount,
Globex Inc,00597,2024-06-18,EMEA,"$68,797.61","$44,856.04",34.8%,true,Account upgrade pending,
Cyberdyne Systems,00659,2024-03-25,EMEA,"£50,423.67","$47,448.67",5.9%,No,Customer asked for $50 discount,
Pied Piper,00498,2024-02-19,EMEA,"(74,998.26)","$52,198.79",(30.4%),Y,Fast shipping requested,
Stark Industries,00898,2024-06-07,EMEA,"$44,994.86","$24,522.20",45.5%,Yes,Standard order,
Cyberdyne Systems,00374,2024-06-22,EMEA,"£72,734.35","$49,677.56",31.7%,Yes,,
Umbrella Corp,00377,2024-06-22,LATAM,"$34,895.16","$30,323.89",13.1%,Yes,,
Wayne Enterprises,00054,2024-06-13,LATAM,"£65,621.71","$58,272.08",11.2%,Yes,Customer asked for $50 discount,
Soylent Corp,00928,2024-05-11,EMEA,"$62,412.98","$48,370.06",-,Y,Account upgrade pending,
Stark Industries,00242,2024-04-08,North America,"$28,430.99","$22,233.03",21.8%,Y,Customer asked for $50 discount,
Wonka Industries,00484,2024-06-27,EMEA,-,-,6.0%,Yes,Account upgrade pending,
Vandelay Industries,00624,2024-05-15,LATAM,"$8,783.42","$5,542.34",36.9%,N,Standard order,
Wonka Industries,00927,2024-05-07,North America,"£47,580.64","$30,594.35",35.7%,Y,Quarterly renewal,
Dunder Mifflin,00685,2024-01-22,APAC,"£5,542.11","$5,209.58",6.0%,Y,Fast shipping requested,
Cyberdyne Systems,00383,2024-03-05,North America,"$27,103.49","$15,286.37",43.6%,false,Quarterly renewal,
Acme Corp,00361,2024-05-19,APAC,"61,106.41","$43,446.66",28.9%,Yes,Standard order,
Vandelay Industries,00795,2024-04-27,North America,"$22,361.47","$17,777.37",20.5%,Yes,Customer asked for $50 discount,
Acme Corp,00772,2024-06-14,EMEA,"$21,815.26","$16,710.49",23.4%,Yes,VIP client priority support,
Stark Industries,00998,2024-02-17,LATAM,"52,059.10","$30,506.63",41.4%,Yes,Account upgrade pending,
Wayne Enterprises,00329,2024-01-27,North America,"$24,930.03","$15,082.67",39.5%,Y,Fast shipping requested,
Wonka Industries,00934,2024-03-31,LATAM,"($20,954.37)","$14,521.38",(30.7%),Yes,Standard order,
Initech LLC,00870,2024-06-04,LATAM,"$3,092.52","$1,468.95",-,Yes,Customer asked for $50 discount,
Stark Industries,00455,2024-01-20,EMEA,"39,944.76","$37,428.24",6.3%,Y,Account upgrade pending,
Globex Inc,00269,2024-03-07,LATAM,"£16,485.50","$14,655.61",11.1%,Yes,Quarterly renewal,
Vandelay Industries,00456,2024-01-23,APAC,"$50,254.06","$43,771.29",12.9%,Yes,,
Stark Industries,00521,2024-02-27,North America,"$73,892.37","$49,064.53",33.6%,Yes,Account upgrade pending,
Globex Inc,00068,2024-03-20,LATAM,"74,969.83","$68,447.45",8.7%,N,VIP client priority support,
Soylent Corp,00697,2024-05-12,APAC,"10,060.93","$7,384.72",26.6%,Y,,
Globex Inc,00531,2024-02-09,APAC,"12,766.95","$8,821.96",30.9%,N,Customer asked for $50 discount,
Umbrella Corp,00651,2024-05-21,APAC,"$9,825.19","$6,425.67",34.6%,Yes,Fast shipping requested,
Hooli Inc,00738,2024-06-03,APAC,"(63,268.49)","$58,649.89",(7.3%),true,Fast shipping requested,
Umbrella Corp,00786,2024-05-26,LATAM,"$46,549.08","$21,971.17",52.8%,Y,Customer asked for $50 discount,
Soylent Corp,00075,2024-06-25,North America,"€12,276.99","$9,747.93",20.6%,false,VIP client priority support,
Initech LLC,00779,2024-04-04,North America,"€24,274.13","$22,453.57",7.5%,Y,Quarterly renewal,
Wonka Industries,00924,2024-02-10,APAC,"70,064.49","$50,236.24",28.3%,Yes,Standard order,
Globex Inc,00968,2024-04-10,LATAM,"$72,518.15","$47,209.32",34.9%,Yes,Customer asked for $50 discount,
Massive Dynamic,00009,2024-01-28,LATAM,"$10,478.15","$7,858.61",25.0%,No,Customer asked for $50 discount,
Massive Dynamic,00296,2024-01-19,LATAM,"£38,067.04","$33,917.73",10.9%,Y,Customer asked for $50 discount,
Pied Piper,00348,2024-05-22,APAC,"$56,744.91","$52,829.51",6.9%,Yes,Account upgrade pending,
Soylent Corp,00153,2024-06-04,EMEA,"£24,933.46","$13,189.80",47.1%,Yes,Fast shipping requested,
Hooli Inc,00307,2024-05-01,North America,"$27,942.66","$16,402.34",41.3%,Y,Account upgrade pending,
Soylent Corp,00272,2024-06-16,EMEA,"£54,244.31","$30,539.55",43.7%,No,Standard order,
Hooli Inc,00971,2024-06-28,North America,"€14,713.43","$10,961.51",25.5%,Yes,,
Wonka Industries,00754,2024-01-16,EMEA,"£39,141.90","$31,039.53",20.7%,false,Account upgrade pending,
Stark Industries,00693,2024-06-23,APAC,"$45,950.71","$22,010.39",52.1%,true,Fast shipping requested,
Umbrella Corp,00707,2024-06-29,LATAM,"$24,119.54","$19,440.35",19.4%,Y,VIP client priority support,
Wonka Industries,00354,2024-02-07,APAC,"$3,633.95","$2,580.10",29.0%,true,Account upgrade pending,
Vandelay Industries,00279,2024-02-05,North America,"46,367.94","$38,809.97",16.3%,N,VIP client priority support,
Stark Industries,00735,2024-04-30,North America,"(51,248.80)","$38,282.85",(25.3%),Yes,VIP client priority support,
Dunder Mifflin,00205,2024-03-14,APAC,"$21,763.44","$14,842.67",31.8%,Y,Quarterly renewal,
Cyberdyne Systems,00904,2024-02-15,North America,"€74,789.30","$38,441.70",48.6%,Y,Standard order,
Wayne Enterprises,00582,2024-06-03,North America,"$69,669.89","$48,977.93",29.7%,Yes,Customer asked for $50 discount,
Umbrella Corp,00829,2024-01-29,APAC,"€12,605.82","$9,845.15",21.9%,No,Quarterly renewal,
Hooli Inc,00877,2024-06-12,LATAM,"£62,110.74","$28,508.83",54.1%,No,Standard order,
Wayne Enterprises,00393,2024-03-01,LATAM,"$56,654.87","$35,295.98",37.7%,Y,Fast shipping requested,
Globex Inc,00477,2024-03-19,EMEA,"£30,703.54","$18,575.64",39.5%,true,Customer asked for $50 discount,
Hooli Inc,00227,2024-02-26,EMEA,"€36,124.55","$24,384.07",32.5%,No,,
Umbrella Corp,00697,2024-06-01,North America,"£39,650.25","$36,438.58",8.1%,No,Account upgrade pending,
Massive Dynamic,00154,2024-02-12,APAC,"€64,159.21","$58,064.09",9.5%,Y,VIP client priority support,
Initech LLC,00526,2024-04-16,LATAM,"£42,511.38","$31,968.56",24.8%,No,Account upgrade pending,
Globex Inc,00047,2024-04-18,APAC,"£52,678.67","$25,443.80",N/A,Yes,,
Initech LLC,00785,2024-06-13,LATAM,"€28,397.34","$25,841.58",9.0%,Yes,Fast shipping requested,
Wonka Industries,00357,2024-01-31,EMEA,"€74,467.08","$70,594.79",N/A,Yes,Fast shipping requested,
Vandelay Industries,00558,2024-04-18,LATAM,"$61,840.35","$31,662.26",48.8%,Y,,
Dunder Mifflin,00430,2024-06-06,North America,,-,38.6%,No,Fast shipping requested,
Acme Corp,00412,2024-04-22,EMEA,"$40,712.11","$20,030.36",50.8%,false,Quarterly renewal,
Wayne Enterprises,00898,2024-02-06,EMEA,"-$31,310.24","$15,467.26",(50.6%),Y,Account upgrade pending,
Soylent Corp,00049,2024-03-29,LATAM,"$59,042.44","$50,658.41",14.2%,No,,
Umbrella Corp,00308,2024-02-06,LATAM,"£68,648.22","$51,898.05",24.4%,false,Fast shipping requested,
Globex Inc,00945,2024-04-25,APAC,"-$7,388.57","$4,795.18",(35.1%),N,Quarterly renewal,
Pied Piper,00780,2024-05-30,EMEA,"$36,214.87","$30,963.71",14.5%,Yes,Quarterly renewal,
Vandelay Industries,00619,2024-06-29,EMEA,"$30,049.09","$20,523.53",31.7%,true,Customer asked for $50 discount,
Massive Dynamic,00904,2024-05-07,LATAM,"€7,846.31","$6,229.97",-,Yes,Standard order,
Wayne Enterprises,00567,2024-05-29,LATAM,"22,491.83","$15,744.28",30.0%,false,Customer asked for $50 discount,
Pied Piper,00842,2024-05-05,LATAM,"$34,831.76","$17,137.23",50.8%,Y,Account upgrade pending,
Acme Corp,00860,2024-01-20,North America,"€57,443.24","$50,205.39",12.6%,Yes,Customer asked for $50 discount,
Acme Corp,00633,2024-06-12,LATAM,"(49,616.68)","$46,738.91",(5.8%),true,Account upgrade pending,
Wayne Enterprises,00018,2024-05-08,LATAM,"$60,559.49","$51,717.80",14.6%,false,Customer asked for $50 discount,
Pied Piper,00407,2024-01-21,APAC,"€71,967.69","$43,756.36",39.2%,Y,Standard order,
Cyberdyne Systems,00389,2024-04-06,LATAM,"4,680.56","$2,939.39",37.2%,N,Account upgrade pending,
Acme Corp,00236,2024-02-24,LATAM,"$20,696.58","$12,852.58",37.9%,false,Standard order,
Umbrella Corp,00602,2024-02-06,LATAM,"69,701.18","$52,624.39",24.5%,false,VIP client priority support,
Pied Piper,00758,2024-02-05,North America,"(37,809.07)","$29,491.07",(22.0%),Y,,
Stark Industries,00031,2024-06-11,APAC,"58,874.34","$43,213.77",26.6%,Y,Standard order,
Pied Piper,00634,2024-03-16,EMEA,"$53,626.59","$46,816.01",12.7%,false,Standard order,
Globex Inc,00006,2024-03-19,LATAM,"$27,313.85","$18,354.91",32.8%,N,Standard order,
Globex Inc,00363,2024-05-21,North America,None,-,24.4%,No,Account upgrade pending,
Massive Dynamic,00174,2024-06-24,LATAM,"$13,127.88","$9,622.74",26.7%,Yes,,
Globex Inc,00370,2024-03-05,EMEA,"€54,207.01","$43,257.19",20.2%,false,,
Hooli Inc,00390,2024-03-25,LATAM,"25,437.85","$21,622.17",15.0%,Y,Customer asked for $50 discount,
Wayne Enterprises,00753,2024-06-26,LATAM,"$72,598.35","$55,682.93",23.3%,No,Account upgrade pending,
Massive Dynamic,00185,2024-06-23,North America,"€71,498.84","$38,180.38",46.6%,Y,Fast shipping requested,
Soylent Corp,00143,2024-06-11,APAC,"$18,530.58","$8,431.41",54.5%,Y,Account upgrade pending,
Massive Dynamic,00946,2024-06-26,LATAM,"$41,001.57","$20,213.77",50.7%,No,Fast shipping requested,
Dunder Mifflin,00364,2024-02-12,North America,"€42,459.91","$38,086.54",10.3%,No,Account upgrade pending,
Vandelay Industries,00532,2024-05-22,EMEA,"€33,710.50","$29,496.69",12.5%,Yes,Standard order,
Wayne Enterprises,00426,2024-01-22,North America,"$62,433.17","$43,016.45",31.1%,N,VIP client priority support,
Vandelay Industries,00714,2024-04-25,APAC,"5,504.49","$3,445.81",37.4%,Yes,Fast shipping requested,
Umbrella Corp,00529,2024-02-14,EMEA,"€25,158.73","$21,586.19",14.2%,Y,VIP client priority support,
Acme Corp,00756,2024-06-06,EMEA,"€33,993.34","$19,512.18",42.6%,N,Account upgrade pending,
Globex Inc,00819,2024-05-17,EMEA,"27,751.58","$19,037.58",31.4%,Y,Account upgrade pending,
Cyberdyne Systems,00602,2024-01-30,APAC,"€26,722.88","$21,405.03",19.9%,N,Fast shipping requested,
Initech LLC,00321,2024-01-31,EMEA,"$23,250.81","$15,159.53",34.8%,Y,Quarterly renewal,
Soylent Corp,00651,2024-05-17,EMEA,"41,840.99","$26,778.23",36.0%,Y,VIP client priority support,
Initech LLC,00200,2024-04-08,LATAM,"€30,980.51","$28,161.28",-,true,Standard order,
Wayne Enterprises,00231,2024-05-17,APAC,"€13,031.57","$9,056.94",30.5%,true,,
Massive Dynamic,00844,2024-04-03,North America,"€57,120.31","$30,559.37",46.5%,true,,
Acme Corp,00461,2024-03-08,APAC,"$64,733.87","$53,858.58",16.8%,false,,
Vandelay Industries,00625,2024-06-10,LATAM,"12,865.63","$8,555.64",33.5%,Yes,Customer asked for $50 discount,
Vandelay Industries,00300,2024-03-15,APAC,"£71,453.60","$33,511.74",53.1%,Y,Customer asked for $50 discount,
Wonka Industries,00672,2024-02-02,EMEA,"$19,100.95","$13,466.17",29.5%,true,Fast shipping requested,
Cyberdyne Systems,00385,2024-04-25,North America,"$47,705.27","$24,377.39",48.9%,Yes,Customer asked for $50 discount,
Hooli Inc,00003,2024-01-24,LATAM,"$47,795.62","$22,272.76",53.4%,Yes,Customer asked for $50 discount,
Stark Industries,00849,2024-03-13,APAC,"$41,274.63","$25,136.25",-,Yes,Standard order,
Globex Inc,00952,2024-02-10,LATAM,"€34,510.60","$21,569.12",37.5%,true,Standard order,
Dunder Mifflin,00370,2024-03-05,North America,"-$28,202.36","$16,921.42",(40.0%),No,VIP client priority support,
Dunder Mifflin,00094,2024-06-29,North America,-€580.93,$354.37,(39.0%),Y,Standard order,
Vandelay Industries,00352,2024-01-31,LATAM,"-€52,205.31","$28,556.30",(45.3%),N,Customer asked for $50 discount,
Stark Industries,00903,2024-03-17,EMEA,"$29,012.72","$19,380.50",33.2%,Yes,VIP client priority support,
Stark Industries,00740,2024-02-24,EMEA,"£69,032.11","$62,128.90",10.0%,Y,Customer asked for $50 discount,
Cyberdyne Systems,00323,2024-02-05,EMEA,"$21,134.09","$17,076.34",19.2%,Y,,
Wonka Industries,00675,2024-03-18,EMEA,"£39,072.31","$21,802.35",44.2%,No,VIP client priority support,
Cyberdyne Systems,00116,2024-03-02,LATAM,"48,037.13","$23,201.93",51.7%,Y,Customer asked for $50 discount,
Massive Dynamic,00700,2024-02-14,LATAM,"($71,606.75)","$60,292.88",(15.8%),Y,,
Cyberdyne Systems,00519,2024-03-14,LATAM,"€32,056.36","$25,997.71",18.9%,No,,
Initech LLC,00550,2024-03-24,LATAM,"44,189.57","$36,721.53",16.9%,Y,Standard order,
Soylent Corp,00627,2024-06-04,North America,"$23,542.11","$20,434.55",13.2%,true,Quarterly renewal,
Stark Industries,00130,2024-03-09,North America,"$57,971.56","$47,478.71",18.1%,N,VIP client priority support,
Soylent Corp,00524,2024-04-02,North America,"£37,720.95","$18,973.64",49.7%,N,Quarterly renewal,
Vandelay Industries,00522,2024-01-01,North America,"$64,472.33","$56,413.29",12.5%,Y,Account upgrade pending,
Pied Piper,00936,2024-06-16,LATAM,"$17,226.39","$15,693.24",8.9%,Y,Quarterly renewal,
Umbrella Corp,00824,2024-05-12,North America,"$71,578.92","$56,905.24",20.5%,Yes,Standard order,
Stark Industries,00206,2024-03-15,APAC,"$55,598.41","$31,357.50",43.6%,No,Quarterly renewal,
Acme Corp,00955,2024-04-14,North America,"$17,858.33","$13,965.21",21.8%,Y,,
,,,,,,,,,
Vandelay Industries,00745,2024-03-19,North America,"15,786.98","$13,876.76",12.1%,Y,Quarterly renewal,
Wonka Industries,00533,2024-04-15,APAC,"$34,655.12","$26,095.31",24.7%,Y,VIP client priority support,
Dunder Mifflin,00988,2024-02-03,EMEA,"22,229.86","$17,494.90",21.3%,No,Standard order,
Umbrella Corp,00140,2024-05-29,North America,"$12,078.09","$9,312.21",22.9%,Yes,Customer asked for $50 discount,
Soylent Corp,00272,2024-01-31,North America,"$12,242.35","$6,512.93",46.8%,N,Fast shipping requested,
Umbrella Corp,00992,2024-04-01,LATAM,"$38,752.75","$28,987.06",25.2%,No,Standard order,
Soylent Corp,00105,2024-02-05,North America,"$1,390.79",$883.15,36.5%,true,,
Globex Inc,00023,2024-01-17,EMEA,"67,735.96","$36,983.83",45.4%,Yes,Standard order,
