 Customer Name / Client , Account # , Order Date (UTC) , Region / Territory , Gross Revenue ($) , Unit Cost ($) , Profit Margin % , Active Subscription? , Customer Notes / Log , Blank Column (Notes) 
Dunder Mifflin,00938,13/02/2024,LATAM,"$21,045.58","$11,945.46",14.9%,N,Customer asked for 50 discount,
Wayne Enterprises,00268,01.12.2024,Europe,"€14,729.60","€8,475.25",6.5%,Y,VIP client priority support,
Soylent Corp,00139,16/10/2024,LATAM,"$34,626.97","$21,078.34",40.2%,Yes,Customer asked for 50 discount,
Umbrella Corp,00602,22.10.2024,APAC,"₹53,590.80","₹41,215.41",37.8%,false,Fast shipping requested,
Massive Dynamic,00811,24.09.2024,APAC,"₹163,648.10","₹90,772.54",25.4%,N,VIP client priority support,
Wayne Enterprises,00190,08-09-2024,USA,"$24,240.61","$15,534.19",26.2%,No,,
Hooli Inc,00039,23/03/2024,LATAM,"$11,996.68","$7,772.41",46.4%,No,Quarterly renewal,
Umbrella Corp,00257,04-09-2024,USA,"$33,668.27","$18,732.35",16.4%,true,N/A,
Globex Inc,00553,26.12.2024,EMEA,"€17,755.38","€11,417.05",10.6%,false,VIP client priority support,
Soylent Corp,00231,05/28/24,USA,"$39,395.30","$25,792.48",15.7%,Y,-,
Cyberdyne Systems,00290,14-Sep-2024,APAC,"₹161,278.07","₹133,624.22",18.4%,true,VIP client priority support,
Dunder Mifflin,00268,02/07/2024,Europe,"€10,031.91","€8,528.35",16.7%,N,Quarterly renewal,
Globex Inc,00399,27/05/2024,LATAM,"$28,135.72","$21,477.99",49.5%,Yes,Customer asked for 50 discount,
Acme Corp,00093,03-20-2024,North America,"$33,842.73","$26,049.09",38.2%,N,Fast shipping requested,
Acme Corp,00249,19/07/2024,EMEA,"(€59,065.06)","€50,551.04",(19.5%),false,Customer asked for 50 discount,
Stark Industries,00137,22/12/2024,LATAM,"($22,473.89)","$12,993.38",(25.3%),true,Customer asked for 50 discount,
Dunder Mifflin,00103,11/13/2024,North America,"$35,340.51","$27,956.41",32.5%,N,Fast shipping requested,
Stark Industries,00366,23/06/2024,LATAM,"$15,176.26","$12,031.52",49.4%,No,Standard order,
Stark Industries,00100,2024-07-21,EMEA,"€53,655.28","€29,533.26",7.5%,No,N/A,
Acme Corp,00462,14.04.2024,Europe,"£28,589.92","£23,110.73",33.6%,Yes,Customer asked for 50 discount,
Globex Inc,00024,04/02/2024,India,"₹163,688.87","₹99,354.12",38.2%,N,N/A,
Soylent Corp,00477,04/10/2024,India,"₹216,686.60","₹141,325.50",48.9%,Y,Customer asked for 50 discount,
Initech LLC,00315,08.09.2024,Europe,"€35,964.25","€27,011.64",13.9%,No,,
Soylent Corp,00886,06.12.2024,Europe,"£25,217.90","£20,062.48",N/A,Y,N/A,
Umbrella Corp,00548,13/12/2024,LATAM,"$43,663.08","$25,158.23",17.5%,N,Fast shipping requested,
Hooli Inc,00882,2024-12-25,USA,"$36,647.27","$27,491.90",37.2%,Yes,Fast shipping requested,
Wayne Enterprises,00110,16/08/2024,Europe,"€3,180.21","€2,685.92",11.8%,No,VIP client priority support,
Cyberdyne Systems,00189,11/04/2024,APAC,"Rs. 61,886.17","Rs. 48,644.06",47.2%,true,-,
Cyberdyne Systems,00085,24/10/2024,LATAM,"$31,218.95","$22,162.10",52.0%,Y,Quarterly renewal,
Wayne Enterprises,00595,2024-01-22,EMEA,"£42,853.29","£27,921.39",40.0%,No,N/A,
Pied Piper,00804,06.04.2024,Europe,"£44,119.14","£36,034.02",34.5%,false,Standard order,
Pied Piper,00817,14/10/2024,LATAM,"$40,978.44","$27,224.10",14.4%,true,-,
Globex Inc,00945,08.05.2024,EMEA,"(£52,314.27)","£37,838.00",(15.6%),false,,
Globex Inc,00384,25-01-2024,APAC,"Rs. 169,842.95","Rs. 135,664.79",49.2%,Yes,N/A,
Dunder Mifflin,00644,23-10-2024,India,"₹227,799.97","₹150,760.38",49.5%,N,Fast shipping requested,
Umbrella Corp,00250,08-06-2024,India,"Rs. 148,898.38","Rs. 121,924.20",44.2%,true,Standard order,
Initech LLC,00389,08-27-2024,North America,"$40,880.49","$37,274.90",13.9%,N,Fast shipping requested,
Acme Corp,00227,01/13/24,USA,"$59,044.66","$36,957.59",32.6%,Yes,Account upgrade pending,
Cyberdyne Systems,00817,03/03/2024,India,"₹31,931.96","₹27,799.51",42.1%,Y,VIP client priority support,
Pied Piper,00063,09-26-2024,North America,"$58,373.48","$43,190.42",49.4%,false,-,
Pied Piper,00479,07/08/2024,USA,"($36,821.14)","$32,645.23",(33.6%),Y,VIP client priority support,
Pied Piper,00649,07-23-2024,USA,"$7,528.47","$6,095.49",41.1%,Yes,,
Stark Industries,00919,07/08/2024,North America,"23,509.87","$15,648.96",37.3%,Y,Fast shipping requested,
Umbrella Corp,00452,09-01-2024,APAC,"169,153.25","₹118,745.45",24.9%,Y,Customer asked for 50 discount,
Massive Dynamic,00329,16.10.2024,EMEA,"€14,731.07","€8,691.93",40.8%,N,-,
Massive Dynamic,00638,10/13/2024,USA,"$20,567.95","$17,114.42",13.5%,false,,
Umbrella Corp,00155,02-13-2024,USA,"$34,078.07","$20,727.69",49.2%,Y,VIP client priority support,
Cyberdyne Systems,00782,02-05-2024,India,"Rs. 123,987.12","Rs. 88,471.80",10.3%,true,N/A,
Globex Inc,00693,14/04/2024,EMEA,"€19,731.97","€12,394.77",N/A,Yes,VIP client priority support,
Wayne Enterprises,00555,2024-11-20,USA,"($5,498.45)","$4,777.34",(48.3%),true,,
Massive Dynamic,00424,05-26-2024,USA,"$12,973.30","$11,683.98",22.0%,Y,Quarterly renewal,
Wayne Enterprises,00613,15/07/2024,LATAM,"$15,321.55","$9,328.47",10.4%,true,Account upgrade pending,
Initech LLC,00991,17/04/2024,Europe,"€39,235.45","€32,615.63",41.3%,No,N/A,
Acme Corp,00956,06-03-2024,India,"₹113,340.98","₹75,036.67",28.8%,N,Standard order,
Dunder Mifflin,00387,11.02.2024,Europe,"£30,183.72","£22,791.64",26.1%,false,Quarterly renewal,
Hooli Inc,00629,17/01/2024,LATAM,"$37,763.28","$33,754.14",N/A,N,-,
Globex Inc,00634,07-05-2024,North America,"$50,949.44","$29,009.35",20.5%,N,Customer asked for 50 discount,
Pied Piper,00751,02.10.2024,Europe,"€20,303.02","€16,095.02",38.3%,No,,
Acme Corp,00820,2024-12-17,EMEA,"€59,326.63","€34,681.02",5.9%,Yes,Account upgrade pending,
Stark Industries,00206,2024-05-17,North America,"7,675.44","$6,410.71",6.8%,No,VIP client priority support,
Massive Dynamic,00395,2024-10-18,North America,"$12,498.88","$8,898.44",16.2%,true,N/A,
Soylent Corp,00556,06-04-2024,North America,"$34,679.83","$22,689.47",50.4%,No,VIP client priority support,
Pied Piper,00063,02/09/2024,USA,"21,451.22","$17,854.99",11.9%,Yes,N/A,
Hooli Inc,00962,26-01-2024,APAC,"(248,658.71)","₹171,255.65",(44.4%),false,Account upgrade pending,
Cyberdyne Systems,00150,2024-03-22,APAC,"₹119,931.98","₹93,268.56",15.1%,false,-,
Wayne Enterprises,00123,22.04.2024,Europe,"(£41,604.07)","£32,469.48",(28.5%),No,Standard order,
Acme Corp,00537,03-05-2024,India,"₹63,938.24","₹45,020.83",50.8%,No,-,
Globex Inc,00815,08-01-2024,India,"₹67,144.31","₹37,332.88",39.4%,No,Account upgrade pending,
Cyberdyne Systems,00055,03.11.2024,EMEA,"(£41,136.48)","£34,976.46",(26.5%),true,Quarterly renewal,
Dunder Mifflin,00820,06-14-2024,North America,"$19,073.20","$15,806.30",41.7%,true,Customer asked for 50 discount,
Umbrella Corp,00828,2024-08-26,EMEA,"€25,254.58","€22,988.68",48.4%,Y,,
Umbrella Corp,00450,18-09-2024,India,"₹166,925.21","₹110,738.76",37.4%,Y,Account upgrade pending,
Massive Dynamic,00455,11/11/2024,EMEA,"£61,940.75","£37,339.64",6.6%,false,Account upgrade pending,
Hooli Inc,00402,03-11-2024,India,"₹96,143.28","₹80,024.02",23.7%,Yes,Fast shipping requested,
Dunder Mifflin,00763,09-28-2024,North America,"$52,832.43","$33,252.26",51.9%,Yes,Fast shipping requested,
Stark Industries,00186,06/11/2024,USA,"$41,294.79","$27,148.60",38.3%,Yes,Account upgrade pending,
Globex Inc,00239,19.03.2024,APAC,"₹145,207.96","₹104,976.67",46.6%,N,N/A,
Globex Inc,00430,2024-03-26,Europe,"€41,823.54","€29,966.17",46.3%,false,VIP client priority support,
Cyberdyne Systems,00453,14/02/2024,India,"84,051.88","₹68,288.19",47.1%,true,Quarterly renewal,
Acme Corp,00989,11/05/2024,India,"₹128,130.42","₹78,466.46",36.0%,No,Account upgrade pending,
Massive Dynamic,00052,2024-11-13,Europe,"£17,349.70","£10,895.60",6.4%,No,Customer asked for 50 discount,
Acme Corp,00989,28/04/2024,EMEA,"€44,822.16","€27,273.83",21.0%,false,Account upgrade pending,
Initech LLC,00891,06.09.2024,EMEA,"€15,864.61","€9,444.73",7.4%,No,,
Soylent Corp,00995,18/06/2024,Europe,"€32,487.61","€24,055.39",6.1%,No,N/A,
Soylent Corp,00230,01-05-2024,India,"₹75,008.35","₹41,481.54",17.4%,N,Account upgrade pending,
Dunder Mifflin,00420,19.06.2024,APAC,"₹115,336.82","₹86,900.20",33.7%,Y,,
Hooli Inc,00823,04/10/2024,EMEA,"€3,135.66","€1,883.60",26.5%,No,VIP client priority support,
Hooli Inc,00963,07-10-2024,India,"₹150,462.54","₹110,997.20",31.5%,Y,Account upgrade pending,
Hooli Inc,00699,2024-12-26,APAC,"Rs. 159,168.82","Rs. 122,696.33",50.7%,Yes,Standard order,
Massive Dynamic,00501,03/25/2024,North America,"$14,389.75","$10,262.54",14.6%,No,N/A,
Initech LLC,00754,17.09.2024,APAC,"₹122,200.89","₹84,248.37",30.1%,false,Customer asked for 50 discount,
Massive Dynamic,00505,05-20-2024,North America,"$57,860.95","$46,914.43",27.6%,false,Customer asked for 50 discount,
Pied Piper,00134,25-07-2024,India,"Rs. 239,051.86","Rs. 138,468.61",40.1%,No,Customer asked for 50 discount,
Globex Inc,00722,10/12/2024,EMEA,"€3,489.60","€3,088.01",9.7%,N,Fast shipping requested,
Acme Corp,00799,07-03-2024,North America,"$35,860.89","$22,369.98",35.4%,Y,Quarterly renewal,
Globex Inc,00766,03/14/24,USA,"$2,821.85","$2,425.08",40.2%,true,Standard order,
Dunder Mifflin,00315,16-Jun-2024,India,"138,108.62","₹101,198.76",27.0%,Y,Account upgrade pending,
Cyberdyne Systems,00758,21/12/2024,LATAM,"$35,689.16","$26,721.31",13.2%,N,,
Globex Inc,00345,25-Nov-2024,APAC,"(₹121,976.25)","₹109,321.87",(26.0%),true,Account upgrade pending,
Pied Piper,00606,06/11/2024,USA,"$50,117.18","$36,194.43",48.4%,true,Fast shipping requested,
Acme Corp,00948,2024-04-24,EMEA,"€31,186.19","€22,402.35",38.0%,No,Quarterly renewal,
Soylent Corp,00706,08/09/2024,Europe,"£59,637.46","£35,276.59",14.5%,Yes,Account upgrade pending,
Globex Inc,00462,19.12.2024,APAC,"₹114,143.26","₹65,128.46",31.5%,false,Customer asked for 50 discount,
Initech LLC,00032,21/01/2024,LATAM,"($2,515.40)","$1,686.79",(51.7%),Y,N/A,
Dunder Mifflin,00303,18/03/2024,LATAM,"$19,206.11","$17,237.48",45.9%,N,Fast shipping requested,
Acme Corp,00997,11-17-2024,USA,"$39,710.31","$32,534.96",6.1%,false,-,
Wayne Enterprises,00554,20/04/2024,LATAM,"$8,887.38","$7,610.47",6.5%,No,Standard order,
Soylent Corp,00221,01/08/2024,APAC,"₹64,959.87","₹36,791.17",40.5%,Yes,-,
Pied Piper,00249,2024-11-23,Europe,"€15,551.38","€13,595.26",24.4%,No,VIP client priority support,
Acme Corp,00705,28/01/2024,LATAM,"$35,468.30","$23,464.30",12.0%,No,N/A,
Soylent Corp,00879,12/22/24,North America,"$42,222.71","$38,341.64",16.4%,false,Fast shipping requested,
Stark Industries,00877,15.09.2024,EMEA,"€43,853.94","€33,902.65",40.8%,No,Quarterly renewal,
Stark Industries,00223,2024-04-23,Europe,"€62,542.63","€37,113.23",16.4%,Yes,,
Soylent Corp,00575,08.09.2024,EMEA,"€17,149.19","€12,685.98",51.1%,true,Quarterly renewal,
Hooli Inc,00330,14/10/2024,LATAM,"$12,104.45","$10,617.60",24.6%,true,Quarterly renewal,
Wayne Enterprises,00593,2024-11-20,Europe,"£22,074.17","£18,375.50",39.8%,false,Account upgrade pending,
Cyberdyne Systems,00153,03/28/24,USA,"($39,343.44)","$33,853.27",(7.3%),Y,,
Cyberdyne Systems,00872,02-20-2024,USA,"$28,052.73","$21,841.83",27.7%,Y,-,
Globex Inc,00431,12-05-2024,APAC,"Rs. 9,199.94","Rs. 7,827.94",47.8%,Y,-,
Cyberdyne Systems,00256,06-21-2024,North America,"$34,478.93","$22,066.06",43.9%,false,Standard order,
Umbrella Corp,00425,25/09/2024,LATAM,"$31,776.61","$18,396.76",35.3%,Y,-,
Dunder Mifflin,00245,02-01-2024,North America,"(67,458.44)","$51,167.14",(19.8%),Yes,VIP client priority support,
Initech LLC,00850,15/05/2024,LATAM,"$37,641.95","$25,830.09",20.6%,Yes,Fast shipping requested,
Globex Inc,00773,2024-04-14,EMEA,"€22,270.41","€18,585.37",N/A,N,N/A,
Soylent Corp,00374,03-11-2024,India,"Rs. 25,995.06","Rs. 20,247.24",8.9%,false,VIP client priority support,
Initech LLC,00408,2024-01-24,EMEA,"€29,018.88","€24,134.95",25.3%,No,,
Umbrella Corp,00036,02-10-2024,APAC,"Rs. 216,610.95","Rs. 120,125.07",39.1%,Yes,-,
Cyberdyne Systems,00711,18/03/2024,LATAM,"$6,994.10","$4,256.07",19.1%,true,Customer asked for 50 discount,
Soylent Corp,00748,04/10/2024,USA,"$22,918.88","$20,651.39",42.8%,true,,
Acme Corp,00618,06-22-2024,North America,"$13,405.03","$9,347.98",34.7%,Yes,Account upgrade pending,
Wayne Enterprises,00297,25-06-2024,Europe,"(£11,859.28)","£9,890.86",(49.3%),Yes,N/A,
Pied Piper,00861,07-15-2024,USA,"$18,227.39","$14,467.18",8.5%,N,,
Globex Inc,00528,01/06/2024,Europe,"€7,287.14","€4,677.22",33.8%,false,,
Hooli Inc,00998,26-02-2024,Europe,"€48,596.08","€36,760.87",22.6%,false,-,
Cyberdyne Systems,00363,28-Feb-2024,APAC,"₹26,034.43","₹22,326.80",21.1%,No,N/A,
Hooli Inc,00497,27-12-2024,APAC,"(₹15,947.35)","₹12,965.01",(10.1%),Yes,Quarterly renewal,
Globex Inc,00188,18-Jun-2024,India,"₹61,804.61","₹43,255.04",-,N,,
Wayne Enterprises,00014,2024-12-19,USA,"$4,786.02","$2,812.50",20.3%,true,N/A,
Globex Inc,00999,10/23/2024,USA,"$26,159.56","$22,571.56",38.2%,No,Fast shipping requested,
Acme Corp,00147,16-04-2024,EMEA,"£9,360.03","£6,493.35",24.9%,No,VIP client priority support,
Globex Inc,00180,22/03/2024,LATAM,"$28,063.74","$23,936.48",27.8%,N,-,
Globex Inc,00678,26/11/2024,LATAM,"$20,251.40","$12,323.76",42.4%,Y,Customer asked for 50 discount,
Soylent Corp,00560,2024-12-18,EMEA,"€32,296.30","€23,866.91",30.5%,No,Standard order,
Initech LLC,00461,2024-12-19,India,"₹189,079.65","₹124,821.37",21.4%,N,Fast shipping requested,
Soylent Corp,00224,10/11/2024,Europe,"£51,058.24","£43,450.87",30.0%,Yes,Account upgrade pending,
Initech LLC,00309,21.09.2024,EMEA,"€59,736.21","€54,791.24",45.7%,false,Account upgrade pending,
Soylent Corp,00789,03.10.2024,Europe,"£24,511.17","£14,166.01",23.9%,false,Account upgrade pending,
Stark Industries,00983,23/10/2024,LATAM,"$43,760.69","$33,791.75",45.0%,N,Quarterly renewal,
Wayne Enterprises,00854,05/28/2024,North America,"$42,504.04","$31,009.89",7.3%,N,Standard order,
Umbrella Corp,00961,2024-01-18,Europe,"£27,921.39","£25,643.19",19.2%,true,Fast shipping requested,
Acme Corp,00379,15.06.2024,EMEA,"€40,739.16","€33,349.72",9.3%,Yes,N/A,
Umbrella Corp,00145,20.09.2024,India,"Rs. 89,175.67","Rs. 53,025.61",27.5%,Y,Fast shipping requested,
Umbrella Corp,00330,07/03/2024,EMEA,"€4,633.07","€3,513.80",21.5%,false,VIP client priority support,
Wayne Enterprises,00640,04/27/2024,USA,"$44,259.09","$30,631.35",11.6%,Y,Quarterly renewal,
Globex Inc,00625,2024-11-22,India,"₹55,334.20","₹42,859.82",35.4%,Yes,N/A,
Wayne Enterprises,00125,02/10/2024,North America,"74,017.50","$66,286.52",31.7%,false,VIP client priority support,
Stark Industries,00987,15/01/2024,Europe,"€2,780.78","€1,591.64",34.5%,N,,
Initech LLC,00421,17/05/2024,APAC,"₹243,706.78","₹148,049.32",40.9%,false,Fast shipping requested,
Pied Piper,00725,20/01/2024,LATAM,"($5,661.40)","$4,327.03",(36.3%),false,VIP client priority support,
Umbrella Corp,00022,03-01-2024,USA,"$39,273.10","$32,977.83",11.0%,true,Fast shipping requested,
Dunder Mifflin,00353,26-05-2024,Europe,"€40,864.13","€29,976.89",45.4%,Yes,Customer asked for 50 discount,
Umbrella Corp,00925,16/04/2024,India,"₹64,915.11","₹47,034.43",48.8%,No,,
Soylent Corp,00339,2024-05-26,North America,"$42,908.04","$25,495.03",15.5%,Y,,
Umbrella Corp,00908,22/05/2024,LATAM,$854.63,$530.07,19.3%,N,Account upgrade pending,
Massive Dynamic,00515,19.12.2024,Europe,"£1,749.38","£1,312.69",5.5%,false,,
Initech LLC,00754,09/04/2024,EMEA,"€63,221.84","€38,102.42",15.9%,N,Account upgrade pending,
Stark Industries,00775,2024-11-16,APAC,"23,333.47","₹17,735.62",16.1%,true,,
Initech LLC,00861,06/23/2024,USA,"$10,294.78","$8,595.67",26.1%,Y,-,
Hooli Inc,00997,19/08/2024,Europe,"£6,059.27","£5,143.17",33.4%,true,VIP client priority support,
Umbrella Corp,00738,01-09-2024,North America,"61,524.71","$37,796.54",31.1%,Y,N/A,
Umbrella Corp,00833,2024-01-17,Europe,"€63,870.36","€38,217.76",34.6%,No,Customer asked for 50 discount,
Umbrella Corp,00032,19-11-2024,APAC,"(35,019.28)","₹31,469.86",(25.4%),false,,
Stark Industries,00040,26/03/2024,LATAM,"$12,736.69","$8,993.43",33.9%,false,Customer asked for 50 discount,
Stark Industries,00431,28-01-2024,India,"₹53,867.16","₹47,258.81",42.7%,N,Account upgrade pending,
Stark Industries,00567,28.06.2024,Europe,"£11,852.07","£7,917.00",41.6%,N,-,
Hooli Inc,00795,02-04-2024,India,"Rs. 135,753.94","Rs. 114,407.69",49.5%,N,Account upgrade pending,
Cyberdyne Systems,00190,12/23/24,North America,"$2,212.67","$1,790.51",31.5%,N,-,
Pied Piper,00189,14/02/2024,LATAM,"$1,386.80",$994.75,33.9%,true,VIP client priority support,
Hooli Inc,00070,2024-03-17,APAC,"₹212,387.82","₹184,447.71",49.3%,Y,Account upgrade pending,
Pied Piper,00340,12/18/24,North America,"$48,723.60","$29,938.46",48.7%,Yes,VIP client priority support,
Wayne Enterprises,00324,03-22-2024,USA,"$63,821.70","$53,304.35",20.0%,No,Quarterly renewal,
Acme Corp,00589,28-03-2024,APAC,"₹245,683.02","₹150,387.08",38.3%,true,N/A,
Dunder Mifflin,00281,12/20/2024,North America,"$54,058.98","$30,695.48",12.8%,N,Account upgrade pending,
Globex Inc,00394,28-10-2024,APAC,"₹23,058.80","₹19,898.18",49.7%,Yes,,
Cyberdyne Systems,00759,2024-10-15,APAC,"₹177,603.64","₹126,025.70",25.4%,true,Quarterly renewal,
Soylent Corp,00429,11/21/2024,USA,"$29,528.38","$22,245.95",5.2%,false,N/A,
Soylent Corp,00109,19-Mar-2024,APAC,"₹121,024.81","₹71,736.04",47.1%,false,-,
Wayne Enterprises,00199,25.06.2024,EMEA,"€30,335.76","€19,224.06",40.4%,Y,Account upgrade pending,
Globex Inc,00433,2024-07-20,Europe,"€27,327.36","€20,444.70",46.4%,Y,,
Initech LLC,00045,17-Feb-2024,India,"₹45,955.37","₹28,878.33",8.7%,Yes,VIP client priority support,
Massive Dynamic,00274,15.02.2024,EMEA,"€55,709.25","€41,352.12",37.9%,N,Fast shipping requested,
Wayne Enterprises,00163,2024-02-16,North America,"$65,073.90","$56,981.98",35.8%,N,Standard order,
Cyberdyne Systems,00292,17/10/2024,LATAM,"$2,225.82","$1,917.21",16.2%,true,Account upgrade pending,
Dunder Mifflin,00355,2024-08-22,Europe,"€44,578.41","€40,558.50",40.0%,true,Customer asked for 50 discount,
Initech LLC,00436,15-Apr-2024,India,"₹104,756.74","₹76,393.89",7.6%,Y,Customer asked for 50 discount,
Initech LLC,00528,17/09/2024,LATAM,"($39,445.53)","$24,466.26",(6.6%),Y,Account upgrade pending,
Initech LLC,00213,09/07/2024,EMEA,"€44,340.10","€28,356.25",50.1%,No,Account upgrade pending,
Hooli Inc,00177,21.12.2024,Europe,"€3,417.39","€2,959.17",15.4%,Yes,Customer asked for 50 discount,
Acme Corp,00429,13-Nov-2024,India,"(₹163,606.03)","₹126,372.98",(42.8%),true,Customer asked for 50 discount,
Wayne Enterprises,00926,24/08/2024,LATAM,"$30,635.23","$25,687.91",9.8%,false,Account upgrade pending,
Globex Inc,00672,11-02-2024,India,"₹247,148.44","₹194,510.78",38.4%,true,Quarterly renewal,
Cyberdyne Systems,00539,10/07/2024,Europe,"€46,939.15","€37,199.19",24.7%,Y,Quarterly renewal,
Hooli Inc,00753,2024-11-20,USA,"$67,998.84","$54,303.28",44.5%,Yes,Customer asked for 50 discount,
Umbrella Corp,00492,12/21/24,North America,"$67,479.38","$53,453.17",46.0%,true,Account upgrade pending,
Pied Piper,00609,2024-01-27,EMEA,"(£38,015.64)","£34,190.94",(28.5%),false,,
Globex Inc,00315,14/03/2024,LATAM,"$44,430.03","$38,320.71",11.7%,Yes,Fast shipping requested,
Stark Industries,00350,06-18-2024,USA,"$15,782.74","$13,197.70",41.9%,Yes,,
Acme Corp,00449,26/08/2024,LATAM,"($9,373.93)","$6,379.76",(20.1%),No,Quarterly renewal,
Dunder Mifflin,00702,20/04/2024,APAC,"Rs. 98,969.87","Rs. 75,989.87",19.0%,false,-,
Massive Dynamic,00546,2024-06-26,EMEA,"£31,963.58","£26,451.23",-,false,VIP client priority support,
Soylent Corp,00761,06/12/2024,APAC,"₹96,922.15","₹76,269.86",32.9%,Y,Standard order,
Dunder Mifflin,00716,07-02-2024,APAC,"₹176,957.71","₹110,781.39",24.8%,No,Customer asked for 50 discount,
Massive Dynamic,00630,09/02/2024,USA,"$21,274.74","$17,878.47",41.6%,Yes,Account upgrade pending,
Initech LLC,00429,2024-08-18,EMEA,"€44,795.61","€32,604.29",9.2%,No,N/A,
Cyberdyne Systems,00982,15-Dec-2024,APAC,"₹162,862.51","₹117,097.81",7.4%,Y,Customer asked for 50 discount,
Hooli Inc,00830,07/23/2024,USA,$824.46,$495.67,47.0%,true,Fast shipping requested,
Hooli Inc,00844,2024-07-18,EMEA,"£17,814.78","£12,340.56",35.5%,Y,VIP client priority support,
Initech LLC,00753,07-10-2024,APAC,"₹49,408.84","₹34,117.19",37.2%,Yes,N/A,
Stark Industries,00125,27/01/2024,LATAM,"$1,050.03",$896.64,40.0%,Yes,Account upgrade pending,
Globex Inc,00545,07-16-2024,USA,"$49,811.93","$39,217.91",46.9%,Y,VIP client priority support,
Globex Inc,00879,28/03/2024,LATAM,"$15,224.82","$9,855.86",30.9%,Yes,Fast shipping requested,
Stark Industries,00464,27.02.2024,Europe,"€48,491.48","€26,989.13",30.8%,No,Customer asked for 50 discount,
Globex Inc,00585,2024-01-27,North America,"$63,339.38","$42,616.63",38.7%,N,Fast shipping requested,
Umbrella Corp,00787,2024-06-20,USA,"$72,336.08","$47,599.59",7.2%,Yes,,
Umbrella Corp,00270,19/04/2024,India,"180,613.04","₹106,538.81",44.4%,N,N/A,
